military_phrase,civilian_phrase,branch,category,context_notes
squared away,thoroughly organized and prepared,general,performance,
served as security manager,served as information security program manager,navy,security,
full send,committed fully to achieving the objective,general,performance,
deployment ready,certified operationally ready,general,compliance,
conducted change of command inventory,conducted leadership transition property audit,army,admin,
unmatched technical expertise,unparalleled technical expertise in the field,general,performance,
administrative reduction,demotion / reduction in grade,general,admin,
passed with flying colors,achieved superior results in evaluation,general,performance,
raised the bar,elevated performance standards,general,leadership,
zero defect mentality,zero-error mindset / quality-first approach,general,performance,
phone tree,emergency communication cascade,general,operations,
stood up a new unit,established a new department / launched a new team,general,leadership,
access control,facility access control management,general,security,
safety investigation board,incident investigation committee,general,safety,
frocked to,given acting authority at higher level,navy,admin,
intelligence preparation of the battlefield,comprehensive environmental analysis / market intelligence,general,intel,
danger tag,lockout/tagout safety tag,navy,technical,
attended SLC,completed senior supervisor leadership course,army,training,
equipment readiness rate,equipment availability percentage,general,equipment,
maintained the watch,ensured continuous operational coverage,navy,operations,
unified the effort,aligned cross-functional teams toward common goals,general,leadership,
range qualified,certified in equipment operation and safety,general,training,
safety petty officer,department safety coordinator,navy,safety,
COOL program participant,enrolled in civilian credentialing program,general,training,
served as adjutant,served as chief administrative officer,general,leadership,
tag-out procedures,lockout/tagout safety procedures,navy,technical,
brief sheet,one-page summary document,general,communication,
Class IV supplies,construction materials,general,equipment,
logistics support area,supply and distribution center,general,logistics,
led joint operations,managed cross-functional initiatives,general,leadership,
maintenance turnaround,aircraft servicing cycle / turnaround time,general,aviation,
requisition,purchase order or supply request,general,equipment,
gas free engineering,atmospheric testing and safety certification,navy,safety,
served as XO,served as deputy director/chief operating officer,navy,leadership,
board qualified,passed comprehensive oral qualification examination,general,training,
the finest Senior Chief I have served with,the most exceptional senior manager in my career,navy,performance,
general quarters drill,full-scale emergency response exercise,navy,training,
convoy operations,coordinated fleet movement operations,army,operations,
command fitness leader,unit physical fitness program coordinator,navy,medical,
supported TSTA/FEP,supported multi-phase operational readiness training,navy,training,
awarded Army Commendation Medal,received superior performance award,army,admin,
advanced to,promoted to,general,admin,
served as 3M work center supervisor,served as maintenance section supervisor,navy,technical,
conducted inventories,performed asset accountability audits,army,admin,
EAOS,end of active obligated service date,navy,admin,
brought to bear,leveraged all available resources,general,performance,
watch team supervisor,shift operations supervisor,navy,operations,
served as BN training NCO,served as organization training manager,army,training,
SAPR victim advocate,confidential victim support specialist,general,admin,
risk management framework,cybersecurity risk management framework / NIST compliance,general,cyber,
CONUS,domestic United States,general,operations,
briefed the CO,briefed senior executive leadership,navy,communication,
dual-hatted,served in dual roles simultaneously,general,training,
completed SOS,completed company-grade officer professional school,usaf,training,
affirmative,yes or confirmed,general,communication,
general court-martial,formal felony-level legal proceeding,general,legal,
annual training requirements,annual compliance and certification requirements,general,training,
briefed the XO,briefed deputy director/COO,navy,communication,
COMSEC custodian,communications security custodian,general,security,
attached to,temporarily assigned to,general,admin,
Class III supplies,fuel and lubricants,general,equipment,
held the watch,maintained oversight / served as duty manager,general,leadership,
humanitarian assistance operations,disaster relief and humanitarian aid operations,general,operations,
top performer in division,ranked as top performer in department,general,performance,
100% accountability,maintained complete asset accountability,general,performance,
overmanned,staffed above authorized level,general,admin,
HAZMAT program,hazardous materials management program,general,safety,
command sponsorship,employee sponsorship / relocation assistance,general,admin,
earned Ranger tab,completed elite small unit leadership course,army,training,
TM,technical manual or equipment documentation,army,equipment,
operations center management,command center management / operations hub oversight,general,operations,
AFFF system,aqueous film-forming foam fire suppression system,navy,technical,
unmatched performance,top-tier performance among peers,general,performance,
served as PQS coordinator,served as certification and qualification program manager,navy,training,
trained the next generation,developed the talent pipeline,general,leadership,
entrusted with,selected to manage,general,leadership,
indications and warnings,early warning indicators / predictive analysis,general,intel,
stood up a command,established a new organization,general,operations,
processed out-processing checklist,completed employee offboarding checklist,general,admin,
moved the needle,produced measurable improvement,general,performance,
GQ,general quarters emergency readiness drill,navy,safety,
served as section chief,served as team supervisor for 10-20 personnel,usaf,leadership,
fleet returnee,experienced operational professional returning from field assignment,navy,operations,
set the tone,established organizational standards,general,leadership,
qualified as OOD,certified as senior operations shift supervisor,navy,operations,
eval/fitrep,annual performance review,navy,admin,
talking points,prepared key messages for discussion,general,communication,
completed Corporals Course,completed first-line supervisor course,usmc,training,
completed Advanced Course,completed senior supervisor course,usmc,training,
duty roster management,work schedule management / shift scheduling,general,admin,
trusted agent,key team member,general,leadership,
conducted ORI preparation,prepared organization for major readiness inspection,usaf,compliance,
fostered a culture of excellence,cultivated a high-performance work environment,general,leadership,
served on promotion board,served on promotion selection committee,army,admin,
OPTAR,operating target or department budget allocation,navy,equipment,
check in/check out,in-process and out-process,general,admin,
ESWS qualified,earned enlisted surface warfare specialist certification,navy,training,
officer record brief,professional profile / executive summary,general,admin,
prime power operations,large-scale power generation / electrical utility management,general,engineering,
interagency coordination,cross-organizational coordination,general,operations,
property book,organizational property accountability record,army,equipment,
humanitarian assistance,disaster relief and humanitarian aid,general,operations,
assumed duties in the absence of,served as acting manager during absence of,general,leadership,
direct report to,direct report to,general,leadership,
on point,consistently accurate and reliable,general,performance,
SIQ,on bed rest per medical order,navy,medical,
conducted inventory,performed inventory audit,general,logistics,
promote ahead of peers,recommended for early promotion over contemporaries,general,performance,
awarded Army Achievement Medal,received organizational achievement award,army,admin,
TA approved,approved for employer-funded education,general,training,
orders,assignment documentation,general,admin,
counter-insurgency operations,complex security and stabilization operations,general,operations,
instructor qualified,certified as professional instructor,general,training,
say again,please repeat for clarification,general,communication,
classified material handling,sensitive document management / confidential records handling,general,admin,
by the numbers,following standard procedures step by step,general,communication,
back on track,restored to standard performance,general,performance,
operations order,detailed project execution plan,general,operations,
high speed low drag,efficient and effective,general,performance,
profile,medical work restriction documentation,army,medical,
go-to person,subject matter expert and reliable contributor,general,leadership,
fully mission qualified,fully certified for all operational duties,general,training,
communications security,information security / encrypted communications management,general,comms,
authority to operate,security authorization / system accreditation,general,cyber,
decisive operations,primary effort / main objective operations,general,operations,
span of control,number of direct reports / management scope,general,leadership,
Class VIII supplies,medical supplies and equipment,general,equipment,
hoseman,fire suppression support operator,navy,operations,
counseling chit,performance counseling documentation,navy,admin,
guidance from above,direction from senior management,general,communication,
electrical safety program,electrical hazard prevention program,general,safety,
served as NCOIC,served as senior noncommissioned supervisor,army,leadership,
PHA,periodic health assessment,general,medical,
served as command sergeant major,served as senior enlisted executive advisor,army,leadership,
dental readiness,dental health compliance status,general,medical,
served as LPO,served as front-line team lead,navy,leadership,
served as division officer,served as department manager,navy,leadership,
supported real-world operations,supported live operational missions,general,operations,
spot checks,quality assurance inspections,general,technical,
maintained TS/SCI clearance,holds active Top Secret/SCI security clearance,general,security,
decisive leadership,confident and timely decision-making,general,leadership,
no safety violations,zero OSHA/safety violations,general,performance,
responsible for the welfare of,accountable for the well-being of,general,leadership,
REDCON level,readiness condition level,army,operations,
lesson plan author,authored instructional materials and course content,general,training,
curriculum developer,designed and developed training materials,general,training,
number one of all peers,top-ranked employee among all peers,general,performance,
PQS qualified in,professionally qualified and certified in,navy,training,
PACOM AOR,Pacific region of operations,general,operations,
passed inspection,achieved full compliance during audit,general,compliance,
cyber hygiene,cybersecurity best practices / security awareness,general,cyber,
served in combat zone,served in high-risk operational environment,general,operations,
DRMO turn-in,coordinated surplus property disposal,general,logistics,
administrative separation,involuntary termination / administrative discharge,general,admin,
earned air warfare designation,earned aviation operations warfare qualification,navy,training,
spot check,unannounced compliance inspection,general,safety,
served on command triad,served on executive leadership team,navy,leadership,
served as squad leader,served as team supervisor for 9-13 personnel,army,leadership,
task organized,restructured teams for specific objectives,general,leadership,
pass the word,disseminate information,navy,communication,
tireless work ethic,consistently high-performing,general,leadership,
IDP on file,individual development plan documented,general,training,
deckplate leader,hands-on frontline leader,navy,leadership,
unity of effort,coordinated teamwork / aligned objectives,general,leadership,
completed maintenance checks,completed preventive maintenance inspections,general,technical,
pinned Chief,promoted to senior management level,navy,admin,
briefed general officers,presented to C-suite executives,army,communication,
muster,accountability formation or roll call,navy,admin,
medical evacuation operations,emergency patient transport / air ambulance operations,general,medical,
stood up the JOC,established the joint operations center,general,operations,
stood EOOW watches,supervised 24/7 engineering plant operations as shift supervisor,navy,operations,
built unit cohesion,strengthened team collaboration and morale,general,leadership,
all-hands call,organization-wide town hall meeting,general,communication,
served as senior enlisted advisor,served as senior workforce advisor,general,leadership,
developed lesson plans,created training curriculum / designed course materials,general,training,
served as superintendent,served as senior operations superintendent,usaf,leadership,
served as scene leader,served as on-scene incident commander,navy,operations,
produced intelligence estimates,produced analytical forecasts / risk assessments,general,intel,
command ombudsman,employee liaison and family support coordinator,navy,admin,
no discrepancies noted,clean audit results with no findings,general,compliance,
surface warfare qualified,earned surface operations professional certification,navy,training,
budget execution,budget management and expenditure tracking,general,financial,
maintained satellite communications,managed satellite-based communications systems,general,comms,
signed off,certified and approved,general,training,
FMC,fully mission capable or fully operational,general,equipment,
served as at-sea fire party member,served as emergency fire response team member,navy,operations,
Class IX supplies,repair parts and components,general,equipment,
signed PQS for,certified personnel qualification completion for,navy,training,
cross-trained,trained across multiple disciplines,general,training,
fit for duty,cleared for full work duties,general,medical,
submitted SITREP,submitted status report to leadership,general,communication,
command and control,management oversight and coordination,general,leadership,
explosive safety,explosive and ordnance safety protocols,general,safety,
hand receipt,signed equipment custody document,army,equipment,
established battle rhythm,established recurring operational cadence,general,leadership,
read ahead,pre-meeting briefing materials,general,communication,
confined space entry,confined space entry safety procedure,general,safety,
triage operations,emergency patient prioritization / triage management,general,medical,
zero deficiencies,zero audit findings/deficiencies,general,compliance,
service record,official personnel file,general,admin,
mishap free,zero workplace incidents,general,safety,
SITREP,situation report or status update,general,communication,
mission debrief,after-action review meeting,general,operations,
exceeds standards,consistently surpasses performance benchmarks,general,performance,
left seat right seat ride,supervised transition period with predecessor,army,operations,
ran a tight ship,maintained high operational standards,general,leadership,
served as CPO mess president,served as senior management council president,navy,leadership,
equipment serviceability rate,equipment availability / asset uptime rate,general,logistics,
maintained AF Form 623,maintained individual training records,usaf,admin,
vulnerability assessment,security vulnerability assessment / penetration testing,general,cyber,
preflight inspection,pre-operation safety inspection / equipment check,general,aviation,
mission planning,project planning and preparation,general,operations,
a consummate professional,a consummate professional,general,performance,
selected as Blue Jacket of the Year,selected as top entry-level employee of the year,navy,performance,
must promote,highest recommendation for immediate promotion,general,performance,
copy,message received and understood,general,communication,
PPE compliance,personal protective equipment compliance,general,safety,
FLIPL,financial liability investigation for lost property,army,equipment,
fiscal year planning,annual budget planning / fiscal year forecasting,general,financial,
delivered results under pressure,produced outcomes in demanding conditions,general,performance,
conducted ship-to-shore movement,coordinated complex personnel and equipment transfer operations,usmc,operations,
earned Enlisted Surface Warfare Specialist,earned advanced surface operations qualification,navy,training,
forward deployed,assigned to remote operations,navy,operations,
special request chit,formal request form,navy,admin,
anti-piracy operations,maritime law enforcement operations,navy,operations,
stand by,please wait for further information,general,communication,
COMSEC material,encrypted communications material,general,security,
imagery intelligence,satellite and aerial imagery analysis,general,intel,
brought online,successfully launched,general,performance,
served as CMEO,served as equal opportunity program manager,navy,admin,
FPCON,security alert level,general,operations,
steady state,normal operations,general,operations,
SNCO academy graduate,completed senior leadership development program,general,training,
hazard identification,workplace hazard identification,general,safety,
#1 of all E-7s,ranked #1 among all senior managers,navy,performance,
up and running,fully operational,general,performance,
served as PME instructor,served as professional development instructor,usmc,training,
earned Expert Infantry Badge,earned advanced infantry proficiency certification,army,training,
up the chain,escalated to higher management,general,communication,
indoc,new employee orientation program,general,admin,
patrol base operations,forward operating base activities / remote site operations,general,operations,
held feet to the fire,enforced accountability for deliverables,general,leadership,
stability operations,stabilization and support activities,general,operations,
class B mishap,severity level 2 incident with significant damage,general,safety,
threat assessment,risk assessment / threat analysis,general,intel,
counter-terrorism operations,counter-terrorism and force protection operations,general,operations,
THA,tool hazard analysis,general,safety,
organizational-level maintenance,routine maintenance performed by operating unit,general,equipment,
earned Airman of the Quarter,selected as employee of the quarter,usaf,performance,
tag out,lockout/tagout safety procedure,navy,safety,
knocked it out of the park,far exceeded expectations,general,performance,
noncombatant evacuation,civilian evacuation operations,general,operations,
served as battalion sergeant major,served as senior enlisted executive advisor for 800+ personnel,usmc,leadership,
principal advisor to the commander,chief advisor to the executive director,general,leadership,
human intelligence,human source information gathering / interview-based research,general,intel,
combat stress control,crisis counseling / behavioral health support,general,medical,
marine of the quarter,employee of the quarter,usmc,leadership,
established communications architecture,designed and deployed network infrastructure,general,comms,
supply discipline,inventory control / asset accountability,general,logistics,
fund execution rate,budget utilization rate / spend rate,general,financial,
conducted AAR,led post-project lessons learned review,general,communication,
stood watch,supervised operational shift,navy,operations,
passed LOE,passed engineering systems readiness examination,navy,compliance,
served as CO,served as commanding officer/chief executive,navy,leadership,
CPO Mess,Senior Leadership Team,navy,leadership,
FMF qualified,earned Fleet Marine Force qualification,navy,training,
conducted training,developed and delivered training,general,training,
in-processing procedures,employee onboarding procedures,general,admin,
roger that,understood and acknowledged,general,communication,
100% mission completion,achieved a 100% task completion rate,general,performance,
material inspection,equipment condition assessment,navy,compliance,
fall protection,fall prevention and safety system,general,safety,
set the standard,established the performance benchmark,general,performance,
huddle up,quick team meeting,general,communication,
CBRN drill,"chemical, biological, radiological, nuclear response drill",general,safety,
from the ground up,from initial concept to completion,general,performance,
career counselor,employee career advisor,general,admin,
selected as Sailor of the Quarter,selected as employee of the quarter,navy,performance,
served as platoon sergeant,served as senior operations supervisor for 40+ personnel,usmc,leadership,
maximum effort,full commitment to achieving results,general,performance,
firemain system,facility fire water distribution system,navy,technical,
urinalysis coordinator,workplace drug testing program coordinator,general,admin,
qualified in rate,earned professional certification in specialty,general,training,
unfunded requirement,budget shortfall for required item,general,equipment,
earned the trust and confidence of,earned the full confidence of senior leadership,general,performance,
flag it,highlight for leadership attention,general,communication,
received Defense Meritorious Service Medal,received defense-level executive achievement award,general,admin,
master training specialist,certified master instructor / lead training facilitator,general,training,
tech school graduate,completed technical skills training,usaf,training,
directed multi-echelon operations,managed multi-level organizational operations,general,leadership,
accountability report,personnel status and location report,general,operations,
backbone of the unit,essential to organizational success,general,leadership,
be advised,please note the following information,general,communication,
completed advanced training,completed advanced professional development,general,training,
exceeded readiness goals,surpassed operational preparedness targets,general,performance,
manning document,staffing authorization document,general,admin,
light duty,modified work assignment due to medical restriction,general,medical,
built the team from scratch,recruited and developed a new team,general,leadership,
boots on the ground,deployed personnel,general,operations,
charted the course,developed the strategic direction,navy,leadership,
medical supply management,pharmaceutical and medical supply chain management,general,medical,
served as platoon sergeant,served as senior operations supervisor for 30-50 personnel,army,leadership,
served as platoon leader,served as operations team lead,army,leadership,
coordinated with adjacent units,coordinated with peer departments / partner teams,general,operations,
network security monitoring,security operations center monitoring / SIEM management,general,cyber,
undermanned,staffed below authorized level,general,admin,
GMT complete,completed mandatory annual compliance training,general,training,
superior mission accomplishment,exceptional project delivery / outstanding results,general,performance,
brief up,present to leadership,general,communication,
breaking in,onboarding and training,general,training,
battle damage assessment,impact and damage evaluation,general,operations,
performed with distinction,delivered exceptional results / excelled,general,performance,
completed Career Course,completed mid-level supervisor course,usmc,training,
drove results,consistently delivered measurable outcomes,general,leadership,
unity of command,clear reporting structure / single point of authority,general,leadership,
meritorious promotion,performance-based early promotion,general,admin,
received Letter of Appreciation,received formal written appreciation from leadership,general,admin,
survivability positions,reinforced protective structures / hardened facilities,general,engineering,
aircraft weight and balance,load planning / weight distribution management,general,aviation,
coordinated with higher headquarters,coordinated with corporate headquarters / senior leadership,general,operations,
distinguished graduate,graduated with honors,general,performance,
earned Airborne qualification,completed airborne operations certification,army,training,
served as fire team leader,served as small team lead,general,leadership,
in theater,on-site at operational location,general,operations,
unprecedented results,achieved historic performance milestones,general,performance,
staff meeting,leadership coordination meeting,general,communication,
net call,conference call or group communication,general,communication,
rear detachment,home station support team,army,operations,
safety observer,safety monitor,general,safety,
network operations center,IT operations center / network management hub,general,comms,
personnel readiness,workforce readiness / staffing preparedness,general,admin,
PCS to,transferred/relocated to,general,admin,
MOS qualified,certified in occupational specialty,army,training,
IA deployment,individual deployment/temporary assignment,general,operations,
sustained superior performance,maintained outstanding results over an extended period,general,performance,
zero lost time,zero lost-time incidents,general,performance,
sharpened the focus,refined team priorities and direction,general,leadership,
military justice,workplace disciplinary process / legal proceedings,general,legal,
corrective maintenance,corrective/reactive maintenance repair,general,technical,
reset operations,equipment refurbishment and reconditioning,general,logistics,
at the deckplate level,at the operational/front-line level,navy,leadership,
combat effective,fully operational and productive,general,performance,
operational command,executive oversight / operational authority,general,leadership,
evening brief,end-of-day status meeting,general,communication,
Class I supplies,food and subsistence items,general,equipment,
after-action report,post-project lessons learned report,general,operations,
relieved the watch,completed shift turnover,navy,operations,
mission-ready status,fully operational and prepared,general,performance,
managed a fighting force,managed a high-performance team,general,leadership,
PQS qualified,completed qualification program,navy,training,
watch station qualified,certified to operate independently at assigned station,navy,training,
qualified in rate,demonstrated competency in assigned specialty,navy,training,
bottom line up front,lead with the key conclusion,general,communication,
billet,authorized position,navy,admin,
correspondence management,business correspondence / official communications management,general,admin,
strength management,headcount management / workforce planning,general,admin,
honor graduate,top-ranked graduate,general,performance,
TOC operations,tactical operations center management,army,operations,
information operations,strategic communications / information management,general,operations,
received Meritorious Unit Commendation,received organizational merit award,general,admin,
redeployment,return from operational deployment,general,operations,
battlespace,operational environment / competitive landscape,general,operations,
collective training event,team-based training exercise / group workshop,general,training,
head count,personnel accountability check,general,operations,
served as DCTT member,served as safety training team member,navy,training,
cyber incident response,security incident response / breach containment,general,cyber,
hand-picked by the CO,personally selected by the director,general,leadership,
served as urinalysis coordinator,served as substance abuse testing program coordinator,navy,admin,
3M system,planned maintenance management system,navy,safety,
combat multiplier,force multiplier / high-impact contributor,general,performance,
CLEP tested,earned college credit through standardized testing,general,training,
garrison operations,routine facility and personnel management,army,operations,
OPR,officer performance report,usaf,admin,
completed Top Level School,completed executive leadership course,usmc,training,
conducted PFT/CFT,completed organizational physical fitness assessment,usmc,training,
page 13,administrative counseling record,navy,admin,
aircraft availability rate,fleet availability rate / aircraft uptime percentage,general,aviation,
PCA,local reassignment,general,admin,
MEB,medical evaluation board review,general,medical,
GAR model,risk assessment tool,uscg,safety,
performed PMS,executed scheduled preventive maintenance,navy,technical,
designated instructor,certified trainer,general,training,
managed a supply account,managed inventory account / procurement account,general,logistics,
medical board,medical fitness for duty review board,general,medical,
NMC,non-mission capable or out of service,general,equipment,
ASI qualified,earned additional skill identifier certification,army,training,
Class V supplies,ammunition and explosives,general,equipment,
network operations,network administration / IT infrastructure management,general,cyber,
mobilized for,activated/deployed for,general,operations,
OSHA compliance,workplace safety regulatory compliance,general,safety,
allowance list,authorized inventory of required items,general,equipment,
mentored junior leaders,mentored emerging leaders / coached new supervisors,general,leadership,
selected as Sailor of the Year,selected as employee of the year,navy,performance,
flawless execution,error-free implementation,general,performance,
maintenance availability,scheduled maintenance downtime window,general,equipment,
liberty port,scheduled port visit,navy,operations,
point paper,executive summary or issue brief,general,communication,
stood OOD watches,served as senior operations shift supervisor responsible for all organizational activities,navy,operations,
completed SNCOA,completed senior leadership development course,usaf,training,
stood watch as OOD,served as senior on-duty manager,navy,leadership,
signal support,IT support / communications infrastructure support,general,comms,
gain and loss report,personnel arrivals and departures report,general,admin,
scored 600 on ACFT,achieved maximum score on physical fitness assessment,army,performance,
completed SABC training,completed self-aid/buddy care first responder training,usaf,training,
PT DLCPO,Part-Time Division Senior Supervisor,navy,leadership,
handled classified material,managed sensitive/classified information,general,security,
open-source intelligence,open-source data analysis / public information research,general,intel,
served as battle NCO,served as operations center shift supervisor,army,operations,
deadline,non-operational due to required maintenance,army,equipment,
served as fire team leader,led 4-person tactical team,usmc,leadership,
earned 5-level,achieved journeyman-level technical certification,usaf,training,
managed USR report,managed unit status/readiness report,army,compliance,
plan of the day,daily schedule and announcements,navy,communication,
air traffic control,air traffic management / airspace coordination,general,aviation,
unit citation,organizational achievement award,general,performance,
stood the watch,maintained continuous operations,navy,performance,
hit the ground running,achieved immediate productivity,general,leadership,
shift operations,rotating shift coverage / multi-shift operations,general,operations,
completed all prerequisite training,completed all required certifications,general,training,
stacked the deck,assembled the strongest team and resources,general,performance,
managed divisional 3M program,managed section-level preventive maintenance program,navy,technical,
hot wash,immediate after-action debrief,general,communication,
BCA,body composition assessment,navy,medical,
defensive cyber operations,cybersecurity defense / network security operations,general,cyber,
light off,system startup/initialization,navy,technical,
individual training plan,personal development plan / individual learning plan,general,training,
served aboard amphib,served aboard amphibious operations vessel,usmc,operations,
firewall five,received the maximum performance evaluation score,navy,performance,
served as 3M coordinator,served as preventive maintenance program manager,navy,technical,
served as readiness NCO,served as organizational readiness coordinator,army,operations,
PEB,physical evaluation board review,general,medical,
earned Air Assault qualification,completed helicopter assault operations certification,army,training,
served as ESO,served as educational services officer / training coordinator,navy,training,
field operations,remote site operations,army,operations,
distribution management,distribution logistics / shipping and receiving management,general,logistics,
safety council,safety review board,general,safety,
earned the respect of,built credibility with,general,leadership,
served as DCTT team leader,served as safety training team lead,navy,training,
logistics readiness,supply chain preparedness / operational logistics readiness,general,logistics,
fleet logistics,enterprise-wide supply operations,navy,logistics,
system hardening,security hardening / system configuration management,general,cyber,
clean sweep,passed all inspection areas,general,performance,
kept the lights on,ensured operational continuity,general,performance,
COOP plan,continuity of operations plan,general,operations,
put the mission first,prioritized organizational objectives,general,leadership,
exceeded standards,surpassed performance benchmarks,general,performance,
managed OPTAR,managed annual operating budget,navy,logistics,
first to volunteer,proactively seeks challenging assignments,general,leadership,
medical logistics,healthcare supply chain / medical equipment management,general,medical,
mission planning cycle,project planning process / operational planning cycle,general,operations,
mission accomplished,objective achieved,general,performance,
worked in S6,supported the unit IT/communications team by troubleshooting issues and restoring network services,army,cyber,Common shorthand in bullets
coordinated with BN S6,partnered with the unit IT team to resolve outages and restore service availability,army,cyber,Battalion S6 coordination
served as COMSEC custodian,"managed communications security controls, safeguarding cryptographic materials and ensuring compliance",general,compliance,Avoid too-classified wording; focus on compliance
worked with the IAO,partnered with the cybersecurity compliance lead to document controls and reduce security risk,general,cyber,IAO often means IA/RMF lead
sent to BDE S1,routed personnel actions through the brigade HR office to meet administrative timelines,army,administration,Personnel processing
synced with BDE S3,aligned plans and schedules with the operations office to support on-time execution,army,operations,Ops planning coordination
coordinated with BDE S4,coordinated supply and sustainment requirements with the logistics office to prevent shortages,army,logistics,Logistics coordination
supported cutter operations,"supported vessel operations through planning, coordination, and readiness tracking",uscg,operations,Coast Guard cutter term
qualified as boat crew,earned qualification as a small boat operations team member through training and evaluated performance,uscg,training,Qualification pipeline
led a boarding team,"led maritime inspection operations, ensuring safety, compliance, and effective execution",uscg,security,ME/boarding operations
EOOW,"supervised engineering plant operations during high-risk shifts, ensuring safety compliance and operational continuity",navy,operations,Nuclear/engineering watchstanding shorthand
EOW,"supervised technical operations during assigned shifts, accountable for equipment status and team performance",navy,operations,Engineering watchstanding shorthand
PPWO,"led propulsion plant operations, coordinating personnel and equipment to maintain regulatory compliance",navy,maintenance,Propulsion plant watchstanding
SRO,oversaw reactor operations and compliance activities to ensure safe and efficient plant performance,navy,maintenance,Senior reactor operations shorthand
RO,monitored and controlled reactor systems to maintain safe operating parameters,navy,maintenance,Reactor operator shorthand
EDPO,managed divisional maintenance planning and personnel development to improve readiness outcomes,navy,leadership,Maintenance program management
ER09,led urgent corrective maintenance actions to restore equipment availability and reduce downtime,navy,maintenance,Engineering casualty shorthand
ERUL,coordinated rapid response logistics and maintenance actions to mitigate equipment failures and restore mission capability,navy,maintenance,Urgent logistics shorthand
DIVO,"supervised 10–25 personnel while managing training, evaluations, and operational execution",navy,leadership,Division officer shorthand
DH,managed department-level operations and personnel performance across multiple teams,navy,leadership,Department head shorthand
SAR,coordinated emergency response operations to safeguard personnel and property under time-critical conditions,uscg,operations,Search and rescue shorthand
AtoN,managed maritime navigation systems to ensure safe and compliant vessel traffic operations,uscg,operations,Aids to navigation shorthand
TACLET,supported specialized maritime security operations within multi-agency environments,uscg,operations,Tactical law enforcement shorthand
boat crew,executed small-team maritime operations ensuring mission success and personnel safety,uscg,operations,Common CG term
boarding team,conducted compliance inspections and security operations to enforce maritime regulations,uscg,compliance,Common CG term
1SG,"served as senior enlisted leader responsible for personnel readiness, discipline, and performance standards across a company-sized organization",army,leadership,First Sergeant shorthand
CSM,advised senior leadership while overseeing workforce standards and readiness across battalion-level operations,army,leadership,Command Sergeant Major shorthand
XO,"served as deputy operations manager coordinating planning, resources, and personnel execution",army,leadership,Executive officer shorthand
CDR,led organizational operations and personnel performance to achieve strategic objectives,army,leadership,Commander shorthand
BN S3,coordinated operational planning and execution across multiple teams to meet mission timelines,army,operations,Staff shorthand
BDE S4,managed brigade-level logistics operations ensuring supply continuity and accountability,army,logistics,Staff shorthand
J3,coordinated joint operational planning and execution across multi-service teams,general,operations,Joint staff shorthand
J4,managed joint logistics planning and supply chain execution across multiple units,general,logistics,Joint staff shorthand
J2,integrated multi-source intelligence to support strategic decision-making,general,intelligence,Joint staff shorthand
J6,oversaw enterprise communications and IT operations supporting mission continuity,general,cyber,Joint staff shorthand
G3,managed organizational operations planning and readiness tracking,army,operations,Army staff shorthand
G4,oversaw logistics strategy and resource distribution to sustain operations,army,logistics,Army staff shorthand
maintained 100% accountability,"ensured complete asset accountability, preventing discrepancies and compliance violations",general,logistics,High-frequency eval bullet stem
led X personnel,"supervised a team of X personnel, driving performance and measurable operational outcomes",general,leadership,Template placeholder; replace X when known
trained X personnel,"delivered structured training to X team members, improving readiness and performance standards",general,training,Template placeholder; replace X when known
reduced downtime,implemented corrective actions that decreased equipment downtime and improved operational availability,general,maintenance,Outcome phrasing
improved readiness,improved operational readiness through targeted training and maintenance initiatives,general,operations,Outcome phrasing
conducted inspections,performed compliance audits identifying gaps and implementing corrective action plans,general,compliance,Inspection mapping
