id,acronym,full_term,civilian_explanation,branch,category,created_at
,IMCOM,Installation Management Command,Installation Management Command,army,Organization,
,IMDS,maintenance data system,maintenance data system,usaf,System,
,IMINT,Imagery Intelligence,satellite and aerial imagery analysis,general,intel,
,IMR,Individual Medical Readiness,Personal medical compliance status,general,technical,
,INDOPACOM,Indo-Pacific Command,Indo-Pacific Command,general,Organization,
,INFOSEC,information security,information security,general,Security,
,INSCOM,Intelligence and Security Command,Intelligence and Security Command,army,Organization,
,INSURV,regulatory compliance inspection,regulatory compliance inspection,navy,Acronym,
,INTREP,Intelligence Report,Finished intelligence product,general,Intelligence,
,INTSUM,Intelligence Summary,intelligence briefing summary,general,intel,
,IOC,Infantry Officer Course,Infantry Officer Course,usmc,Acronym,
,IPAC,Installation Personnel Admin Center,Marine Corps HR office,usmc,Admin,
,IPB,Intelligence Preparation of the Battlefield,Operational environment analysis,army,planning,
,IPB,Intelligence Preparation of the Battlefield,comprehensive environmental and threat analysis,general,intel,
,iPERMS,Interactive Personnel Electronic Records Management System,Army digital personnel records,army,Admin,
,iPERMS,electronic personnel records,electronic personnel records,general,Acronym,
,IS,Intelligence Specialist,Analyst role producing intelligence products and briefings.,Navy,rate,
,ISG,first sergeant,first sergeant,army,Rank,
,ISIC,Immediate Superior in Command,Next higher headquarters,navy,organization,
,ISO,International Organization for Standardization container,Standard shipping container,general,Logistics,
,ISR,Intelligence Surveillance Reconnaissance,Information gathering and monitoring,general,operations,
,ISRD,Initial Space Resiliency Design,Survivable space system architecture,ussf,Space,
,ISSM,Information System Security Manager,information security manager,general,cyber,
,ISSO,Information System Security Officer,information security officer,general,cyber,
,IT,information technology,information technology,navy,Rating,
,ITS,information technology submariner,information technology submariner,navy,Rating,
,J-1,Joint Personnel,Joint HR staff,general,admin,
,J-2,Joint Intelligence,Joint intelligence staff,general,admin,
,J-3,Joint Operations,Joint operations staff,general,admin,
,J-4,Joint Logistics,Joint logistics staff,general,admin,
,J-6,J-6 (Joint Communications/IT),Joint-level communications/IT directorate responsible for enterprise services and interoperability.,All,cyber,
,J-6,Joint Communications,Joint IT/communications staff,general,admin,
,J1,joint personnel,joint personnel,army,Acronym,
,J2,Joint Intelligence (J-2),Joint intelligence section integrating multi-source intel for decision support.,All,intelligence,
,J2,joint intelligence,joint intelligence,army,Security,
,J3,Joint Operations (J-3),Joint operations section coordinating planning and execution across services.,All,operations,
,J3,joint operations,joint operations,army,Acronym,
,J4,Joint Logistics (J-4),Joint logistics section managing supply chain planning and sustainment across units.,All,logistics,
,J4,joint logistics,joint logistics,army,Acronym,
,J6,Joint Communications/IT (J-6),Enterprise communications and IT section supporting service continuity and cybersecurity.,All,cyber,
,J6,joint communications,joint communications,army,Acronym,
,JAG,legal affairs,legal affairs,general,Acronym,
,JCN,Job Control Number,Work order number,navy,technical,
,JDAM,Joint Direct Attack Munition,GPS-guided precision weapon,general,Aviation,
,JIOC,Joint Intelligence Operations Center,Multi-service intel operations facility,general,Intelligence,
,JISE,Joint Intelligence Support Element,Multi-service intel analysis team,general,Intelligence,
,JOC,Job Order Contract,Quick-turnaround construction contract,general,Engineering,
,JOOD,Junior Officer of the Deck,Assistant operations shift supervisor,navy,operations,
,JOPES,Joint Operation Planning and Execution System,enterprise operations planning system,general,operations,
,JPAS,Joint Personnel Adjudication System,Security clearance tracking database,general,Intelligence,
,JPME,Joint Professional Military Education,Joint operations education,general,training,
,JRSOI,Joint Reception Staging Onward Movement and Integration,arrival processing and integration operations,general,operations,
,JRSS,Joint Regional Security Stack,Regional network security platform,general,Cyber,
,JRTC,Joint Readiness Training Center,Joint Readiness Training Center,army,Training,
,JSM,Joint Service Medal,Multi-service assignment recognition,general,Admin,
,JSpOC,Joint Space Operations Center,Joint Space Operations Center,ussf,Acronym,
,JSS,joint security station,joint security station,army,Security,
,JSTARS,Joint Surveillance Target Attack Radar System,airborne surveillance and targeting platform,general,intel,
,JTAGS,Joint Tactical Ground Station,Transportable missile warning station,general,Space,
,JTF,joint task force,joint task force,general,Acronym,
,JWAC,Joint Warfare Analysis Center,Military targeting and analysis center,general,Intelligence,
,JWICS,Joint Worldwide Intelligence Communications System,top-secret network,general,cyber,
,KIA,killed in action,killed in action,general,Acronym,
,LAD,Latest Arrival Date,Final acceptable delivery date,general,Logistics,
,ladder well,stairwell,stairwell,general,Facility,
,LANTFLT,Atlantic Fleet,Atlantic region naval forces,navy,organization,
,LCE,logistics combat element,logistics combat element,usmc,Acronym,
,LCPO,senior team lead,senior team lead,navy,Rank,
,LES,Leave and Earnings Statement,Pay stub / earnings statement,general,admin,
,LFX,live fire exercise,live fire exercise,army,Acronym,
,liberty,time off,time off,general,Acronym,
,LMET,Leadership and Management Education and Training,Leadership development course,navy,training,
,LOA,letter of admonishment,letter of admonishment,general,Acronym,
,LOC,letter of counseling,letter of counseling,general,Acronym,
,LOD,Line of Duty,Work-related injury/illness determination,general,Medical,
,LOE,Line of Effort,Strategic objective focus area,general,planning,
,LOE,Light-Off Examination,Propulsion system readiness test,navy,compliance,
,LOGCAP,Logistics Civil Augmentation Program,Contracted logistics support program,army,Logistics,
,LOGPAC,Logistics Package,Supply delivery bundle,army,logistics,
,LOGSTAT,Logistics Status Report,supply and logistics status report,general,logistics,
,LOO,Line of Operation,Operational focus area,general,planning,
,LOR,letter of reprimand,letter of reprimand,general,Acronym,
,LPO,team lead,team lead,navy,Rank,
,LRS,logistics readiness squadron,logistics readiness squadron,usaf,Acronym,
,LS,logistics specialist,logistics specialist,navy,Rating,
,LSO,Landing Signal Officer,aircraft landing safety supervisor,navy,aviation,
,LZ,Landing Zone,Helicopter landing area,general,operations,
,MA,master-at-arms,master-at-arms,navy,Rating,
,MACC,Multiple Award Construction Contract,Pre-competed construction contract vehicle,general,Engineering,
,MACOM,Major Command,Major Army headquarters,army,organization,
,MAGTF,Marine Air-Ground Task Force,Marine Air-Ground Task Force,usmc,Acronym,
,maintenance lags,maintenance delays,maintenance delays,general,Acronym,
,MAJCOM,Major Command,Major Air Force headquarters,usaf,organization,
,MALS,Marine Aviation Logistics Squadron,Marine Aviation Logistics Squadron,usmc,Acronym,
,MARADMIN,Marine administrative message,Marine administrative message,usmc,Acronym,
,MARCENT,Marine Forces Central Command,Marine Forces Central Command,usmc,Organization,
,MARDIV,Marine Division,Marine Division,usmc,Acronym,
,MARFORCOM,Marine Forces Command,Marine Forces Command,usmc,Organization,
,MARFORCYBER,Marine Forces Cyberspace Command,Marine Corps cyber operations,usmc,Cyber,
,MARFORPAC,Marine Forces Pacific,Marine Forces Pacific,usmc,Acronym,
,Marine,team member,team member,general,Acronym,
,marines,personnel,personnel,general,Acronym,
,MASINT,Measurement and Signature Intelligence,technical measurement and analysis,general,intel,
,material readiness,equipment readiness,equipment readiness,general,Acronym,
,materiel,supplies and equipment,supplies and equipment,general,Acronym,
,MAW,Marine Aircraft Wing,Marine Aircraft Wing,usmc,Acronym,
,MC,Mission Capable,aircraft available for operations,general,aviation,
,MCAS,Marine Corps Air Station,Marine Corps Air Station,usmc,Acronym,
,MCB,Marine Corps Base,Marine Corps Base,usmc,Acronym,
,MCCDC,Combat Development Command,Combat Development Command,usmc,Organization,
,MCIA,Marine Corps Intelligence Activity,Marine Corps intelligence center,usmc,Intelligence,
,MCLB,Marine Corps Logistics Base,Marine Corps Logistics Base,usmc,Acronym,
,MCMAP,martial arts program,martial arts program,usmc,Acronym,
,MCPON,Master Chief Petty Officer of the Navy,Senior enlisted Navy advisor,navy,organization,
,MCRD,Marine Corps Recruit Depot,Marine Corps Recruit Depot,usmc,Acronym,
,MCSC,Marine Corps Systems Command,Marine Corps Systems Command,usmc,Organization,
,MCTFS,Marine Corps Total Force System,Marine Corps personnel database,usmc,Admin,
,MCWL,Marine Corps Warfighting Lab,Marine Corps Warfighting Lab,usmc,Acronym,
,MCX,retail store,retail store,general,Facility,
,MDG,medical group,medical group,usaf,Acronym,
,MDMP,Military Decision Making Process,Structured decision-making framework,army,planning,
,MDR,Managed Detection and Response,Outsourced security monitoring service,general,Cyber,
,MEB,Medical Evaluation Board,Medical fitness-for-duty review,general,Medical,
,MEB,Marine Expeditionary Brigade,Marine Expeditionary Brigade,usmc,Acronym,
,MECEP,enlisted commissioning program,enlisted commissioning program,usmc,Acronym,
,MEDCOM,Medical Command,Medical Command,army,Organization,
,MEDEVAC,Medical Evacuation,Medical transport by helicopter,general,operations,
,MEDEX,Media Exploitation,Digital media forensic analysis,general,Intelligence,
,MEDPROS,Medical Protection System,Medical readiness tracking,army,technical,
,MEDPROS,Medical Protection System,medical readiness tracking system,general,medical,
,MEF,Marine Expeditionary Force,Major Marine Corps operational force,usmc,organization,
,MEO,military equal opportunity,military equal opportunity,general,Acronym,
,MEPS,Military Entrance Processing Station,Military recruitment medical screening facility,general,Medical,
,mess deck,dining facility,dining facility,general,Facility,
,METL,Mission Essential Task List,Core competency requirements,general,compliance,
,METT-TC,Mission Enemy Terrain Troops Time Civilians,operational planning factors,army,operations,
,MEU,Marine Expeditionary Unit,Marine Expeditionary Unit,usmc,Acronym,
,MFP,Major Force Program,Major budget category,general,Financial,
,MHE,Material Handling Equipment,Forklifts and cargo moving equipment,general,Logistics,
,MHS,Military Health System,DoD healthcare system,general,Medical,
,MIA,missing in action,missing in action,general,Acronym,
,MICT,management internal control toolset,management internal control toolset,usaf,Acronym,
,MILCON,Military Construction,capital construction budget,general,financial,
,MILPDS,Military Personnel Data System,Air Force personnel database,usaf,Admin,
,MILVAN,Military Van,Military-standard shipping container,general,Logistics,
,MISLE,marine information system,marine information system,uscg,System,
,MLC,Master Leader Course,executive management development course,army,training,
,MLE,maritime law enforcement,maritime law enforcement,uscg,Acronym,
,MLG,Marine Logistics Group,Marine Logistics Group,usmc,Acronym,
,MM,machinist's mate,machinist's mate,navy,Rating,
,MOB,Man Overboard,Personnel recovery emergency,navy,operations,
,MODS,Medical Operational Data System,Navy medical readiness tracker,navy,Medical,
,MOL,Marine Online portal,Marine Online portal,general,Acronym,
,MOL,Marine Online,Marine Corps self-service portal,usmc,Admin,
,MOPP,Mission Oriented Protective Posture,HAZMAT/CBRN protection level,general,operations,
,MOS,military occupational specialty,military occupational specialty,general,Acronym,
,MPA,main propulsion assistant,main propulsion assistant,navy,Acronym,
,MPF,Military Personnel Flight,Air Force HR office,usaf,admin,
,MRC,Maintenance Requirement Card,Maintenance work instruction,navy,technical,
,MSC,Military Sealift Command,Navy cargo shipping organization,navy,Logistics,
,MSG,mission support group,mission support group,usaf,Acronym,
,MSGT,master sergeant,master sergeant,usaf,Rank,
,MSIC,Missile and Space Intelligence Center,Missile threat analysis center,army,Intelligence,
,MSR,main supply route,main supply route,army,Acronym,
,MSR,Main Supply Route,Primary logistics corridor,general,logistics,
,MSRT,maritime security response team,maritime security response team,uscg,Security,
,MSST,maritime security team,maritime security team,uscg,Security,
,MTF,Medical Treatment Facility,healthcare facility,general,medical,
,MTOE,personnel and equipment authorization,personnel and equipment authorization,army,Acronym,
,MUOS,Mobile User Objective System,Next-gen narrowband military satellite,general,Space,
,muster,accountability check,accountability check,general,Acronym,
,MWR,"morale, welfare and recreation","morale, welfare and recreation",general,Acronym,
,MX,maintenance,maintenance,usaf,Acronym,
,MXG,maintenance group,maintenance group,usaf,Acronym,
,MXS,maintenance squadron,maintenance squadron,usaf,Acronym,
,NAF,numbered air force,numbered air force,usaf,Acronym,
,NAI,Named Area of Interest,Geographic area designated for surveillance,general,Intelligence,
,NALCOMIS,Naval Aviation Logistics Command Management Information System,Aviation maintenance management system,navy,technical,
,NAS,naval air station,naval air station,navy,Acronym,
,NASIC,National Air and Space Intelligence Center,Air/space threat analysis center,usaf,Intelligence,
,NATOPS,Naval Air Training and Operating Procedures Standardization,aviation standardization and safety procedures,navy,aviation,
,NAV,navigator,navigator,navy,Acronym,
,NAVAIR,Naval Air Systems Command,Navy aviation systems command,navy,organization,
,NAVFIT,performance evaluation system,performance evaluation system,navy,System,
,NAVLEAD,Navy Leadership Development,Leadership course,navy,training,
,NAVSEA,Naval Sea Systems Command,Navy shipbuilding and maintenance command,navy,organization,
,NAVSTA,naval station,naval station,navy,Acronym,
,NAVSUP,supply command,supply command,navy,Organization,
,NAVWAR,naval information warfare systems,naval information warfare systems,navy,System,
,NC,career counselor,career counselor,navy,Acronym,
,NCIS,Naval Criminal Investigative Service,Navy/Marine Corps law enforcement and CI agency,navy,Intelligence,
,NCO,non-commissioned officer,non-commissioned officer,army,Rank,
,NCOA,NCO Academy,NCO Academy,usaf,Acronym,
,NCOER,performance evaluation,performance evaluation,army,Acronym,
,NCOIC,non-commissioned officer in charge,non-commissioned officer in charge,army,Rank,
,NCTC,National Counterterrorism Center,Counterterrorism analysis and planning center,general,Intelligence,
,NDSM,National Defense Service Medal,Medal for service during conflict period,general,Admin,
,NDU,National Defense University,Senior military/civilian joint education,general,Training,
,NEC,specialty code,specialty code,general,Acronym,
,NEL,Navy e-Learning,Navy e-Learning,navy,Acronym,
,NEPA,National Environmental Policy Act,Environmental impact review law,general,Engineering,
,NETC,Naval Education and Training Command,Navy training organization,navy,organization,
,NEX,retail store,retail store,general,Facility,
,NFAAS,Navy Family Accountability and Assessment System,Personnel accountability system,navy,technical,
,NGA,National Geospatial-Intelligence Agency,Satellite and geographic analysis agency,general,Intelligence,
,NGIC,National Ground Intelligence Center,Army ground threat analysis center,army,Intelligence,
,NIOC,Navy Information Operations Command,Navy cyber and intel operations,navy,Intelligence,
,NIPR,Non-classified Internet Protocol Router,unclassified network,general,cyber,
,NIST,National Institute of Standards and Technology,Federal technology standards body,general,technical,
,NJP,Non-Judicial Punishment,Administrative disciplinary action,general,admin,
,NKO,online training system,online training system,navy,System,
,NMC,Non-Mission Capable,equipment out of service,general,logistics,
,NMCI,Navy Marine Corps Intranet,Enterprise network infrastructure,navy,technical,
,NMCM,Non-Mission Capable Maintenance,out of service due to maintenance,general,logistics,
,NMCP,Naval Medical Center Portsmouth,Navy hospital,navy,Medical,
,NMCS,Non-Mission Capable Supply,out of service due to parts shortage,general,logistics,
,NMEC,National Media Exploitation Center,Captured materials analysis center,general,Intelligence,
,NMP,Navy Manning Plan,Navy staffing document,navy,Training,
,NOFORN,not releasable to foreign nationals,not releasable to foreign nationals,general,Acronym,
,NORTHCOM,Northern Command,Northern Command,general,Organization,
,NPC,Navy Personnel Command,Navy HR operations,navy,Admin,
,NRO,National Reconnaissance Office,Satellite intelligence agency,general,Intelligence,
,NSA,National Security Agency,Signals intelligence and cybersecurity agency,general,Intelligence,
,NSA,naval support activity,naval support activity,navy,Acronym,
,NSDC,National Space Defense Center,Space threat monitoring facility,general,Space,
,NSG,Naval Security Group,Navy signals intelligence unit,navy,Intelligence,
,NSIPS,personnel management system,personnel management system,general,System,
,NSIPS,Navy Standard Integrated Personnel System,Navy HR database,navy,Admin,
,NSpC,National Space Council,White House space policy coordination,general,Space,
,NSTC,Naval Service Training Command,Navy recruit and officer training,navy,Training,
,NTC,National Training Center,National Training Center,army,Training,
,NVG,Night Vision Goggles,Low-light vision enhancement device,general,Aviation,
,NWC,Naval War College,Senior officer strategic school,navy,training,
,OAAS,officer and enlisted performance,officer and enlisted performance,uscg,Acronym,
,OAR,officer assignment record,officer assignment record,uscg,Acronym,
,OCO,Offensive Cyber Operations,penetration testing and red team operations,general,cyber,
,OCONUS,overseas,overseas,general,Acronym,
,OCS,Officer Candidate School,Officer commissioning program,general,training,
,OCX,GPS Next Generation Operational Control System,GPS ground control upgrade,general,Space,
,ODNI,Office of the Director of National Intelligence,IC coordination and oversight office,general,Intelligence,
,OER,officer performance evaluation,officer performance evaluation,army,Acronym,
,OG,operations group,operations group,usaf,Acronym,
,OIC,officer in charge,officer in charge,army,Rank,
,OICC,Officer in Charge of Construction,Senior construction oversight officer,navy,Engineering,
,OJT,on-the-job training,on-the-job training,general,Training,
,OMA,Operation and Maintenance Army,Army operating budget,army,financial,
,OMMS-NG,Organizational Maintenance Management System-Next Generation,Maintenance management software,navy,technical,
,OMN,Operation and Maintenance Navy,Navy operating budget,navy,financial,
,OMPF,official personnel file,official personnel file,general,Acronym,
,ONI,Office of Naval Intelligence,Navy intelligence headquarters,navy,Intelligence,
,OOD,Officer of the Deck,Ship operations shift supervisor,navy,operations,
,op tempo,operational pace,operational pace,general,Acronym,
,OPCON,Operational Control,Full operational authority,general,operations,
,OPFOR,opposing force,opposing force,army,Acronym,
,OPIR,Overhead Persistent Infrared,Satellite missile detection system,general,Space,
,OPLAN,Operations Plan,comprehensive operations plan,general,operations,
,OPNAV,headquarters staff,headquarters staff,navy,Facility,
,OPORD,Operations Order,Operational execution plan,general,communication,
,OPPE,Operational Propulsion Plant Examination,Engineering readiness assessment,navy,compliance,
,OPR,officer performance report,officer performance report,usaf,Acronym,
,OPREP,operational report,operational report,navy,Acronym,
,OPS,operations,operations,navy,Acronym,
,OPSEC,operations security,operations security,general,Security,
,OPSUM,Operations Summary,operational activity summary,general,operations,
,ORB,Officer Record Brief,Officer personnel summary,army,admin,
,ordnance,weapons/ammunition,weapons/ammunition,general,Acronym,
,ORE,Operational Readiness Examination,Readiness evaluation,general,compliance,
,ORI,Operational Readiness Inspection,Formal readiness inspection,usaf,compliance,
,ORM,operational risk management,operational risk management,general,Acronym,
,OS,operations specialist,operations specialist,navy,Rating,
,OSA,Overseas Service Award,Recognition for overseas assignment,general,Admin,
,OSINT,Open Source Intelligence,Publicly available information analysis,general,operations,
,OSS,operations support squadron,operations support squadron,usaf,Acronym,
,OTS,Officer Training School,Air Force commissioning program,usaf,training,
,overhead,ceiling,ceiling,general,Facility,
,PACAF,Pacific Air Forces,Pacific Air Forces,usaf,Acronym,
,PACFLT,Pacific Fleet,Pacific region naval forces,navy,organization,
,PACOM,Pacific Command,Pacific Command,general,Organization,
,PAFSC,primary specialty code,primary specialty code,usaf,Acronym,
,PAO,public affairs,public affairs,general,Acronym,
,passageway,hallway,hallway,general,Facility,
,PATFORSWA,patrol forces Southwest Asia,patrol forces Southwest Asia,uscg,Acronym,
,PB,patrol base,patrol base,army,Acronym,
,PBAC,Program and Budget Advisory Committee,Budget review committee,general,Financial,
,PBD,Program Budget Decision,Senior budget allocation decision,general,Financial,
,PBO,property book officer,property book officer,army,Acronym,
,PBUSE,property management system,property management system,army,System,
,PCC,Pre-Command Course,Commander preparation training,general,Training,
,PCS,Permanent Change of Station,Organizational relocation/transfer,general,admin,
,PDHA,Post-Deployment Health Assessment,Return-from-deployment medical screening,general,Medical,
,PDHRA,Post-Deployment Health Reassessment,Follow-up deployment health check,general,Medical,
,PEB,Physical Evaluation Board,Disability rating determination panel,general,Medical,
,PEC,Program Element Code,Budget tracking identifier,general,Financial,
,PEO,program executive office,program executive office,navy,Acronym,
,PERSEC,personnel security,personnel security,general,Security,
,PERSTAT,Personnel Status Report,headcount and personnel status report,general,admin,
,PFC,private first class,private first class,army,Rank,
,PFT,physical fitness test,physical fitness test,usmc,Training,
,PIR,Priority Intelligence Requirements,Intelligence collection priorities,general,planning,
,PKI,Public Key Infrastructure,digital certificate management system,general,cyber,
,PLANORD,Planning Order,planning directive,general,operations,
,PLT,platoon,platoon,army,Acronym,
,PMC,Partially Mission Capable,equipment operating with reduced capability,general,logistics,
,PMCS,preventive maintenance checks,preventive maintenance checks,army,Acronym,
,PME,professional military education,professional military education,general,Acronym,
,PMO,provost marshal office,provost marshal office,usmc,Acronym,
,PMS,preventive maintenance,preventive maintenance,navy,Acronym,
,POAM,Plan of Action and Milestones,Security remediation plan,general,Cyber,
,POC,Point of Contact,Primary contact person,general,communication,
,POD,Port of Debarkation,Arrival port,general,Logistics,
,POE,Port of Embarkation,Departure port,general,Logistics,
,POM,Program Objective Memorandum,multi-year budget planning document,general,financial,
,port and starboard,rotating shift schedule,rotating shift schedule,general,Acronym,
,POW,prisoner of war,prisoner of war,general,Acronym,
,PPBE,"Planning, Programming, Budgeting, and Execution",DoD budget lifecycle process,general,Financial,
,PPE,personal protective equipment,personal protective equipment,general,Acronym,
,PPO,Personnel Processing Office,In/out-processing office,general,Admin,
,PPWO,Propulsion Plant Watch Officer,"Led propulsion plant operations, coordinating personnel and equipment to maintain compliance and availability.",Navy,maintenance,
,PQS,personnel qualification standards,personnel qualification standards,navy,Acronym,
,PRD,planned rotation date,planned rotation date,general,Acronym,
,PRDA,Personnel Records Display Application,Air Force digital personnel file,usaf,Admin,
,PRIME BEEF,Prime Base Engineer Emergency Force,base engineering emergency response team,usaf,engineering,
,PROFIS,Professional Officer Filler Information System,Medical officer deployment assignment system,army,Medical,
,PRT,Physical Readiness Test,Physical fitness assessment,navy,training,
,PS,personnel specialist,personnel specialist,navy,Rating,
,PSD,Personnel Support Detachment,HR service center,navy,admin,
,PSG,platoon sergeant,platoon sergeant,army,Rank,
,PSR,Personnel Status Report,Manning/staffing report,general,admin,
,PSU,port security unit,port security unit,uscg,Security,
,PT,Physical Training,Physical fitness program,general,training,
,PV2,private,private,army,Rank,
,PVT,private,private,army,Rank,
,PWD,Public Works Department,Base facilities management office,navy,Engineering,
,PX,retail store,retail store,general,Facility,
,PZ,Pickup Zone,Personnel/cargo collection point,general,Aviation,
,QA,quality assurance,quality assurance,army,Acronym,
,QAE,Quality Assurance Evaluator,Construction quality inspector,general,Engineering,
,QC,quality control,quality control,army,Acronym,
,QM,quartermaster,quartermaster,navy,Rating,
,QRF,Quick Reaction Force,Rapid response team,general,operations,
,quarterdeck,reception area,reception area,general,Facility,
,rack,bed,bed,general,Acronym,
,RAPIDS,Real-time Automated Personnel Identification System,Military ID card system,general,Admin,
,RAS,replenishment at sea,replenishment at sea,navy,Acronym,
,RDD,Required Delivery Date,Shipment deadline,general,Logistics,
,readiness,operational preparedness,operational preparedness,general,Acronym,
,RED HORSE,Rapid Engineer Deployable Heavy Operational Repair Squadron Engineers,rapid construction and repair unit,usaf,engineering,
,reveille,morning wake-up,morning wake-up,general,Acronym,
,RFI,Request for Information,Information request,general,communication,
,RFP,Request for Proposal,Solicitation for contractor bids,general,Engineering,
,RMF,Risk Management Framework,Cybersecurity compliance framework,general,technical,
,RO,Reactor Operator,Monitored and controlled reactor systems to maintain safe operating parameters.,Navy,maintenance,
,ROC drill,Rehearsal of Concept drill,operational concept rehearsal,general,operations,
,ROE,Rules of Engagement,Operational conduct guidelines,general,operations,
,ROICC,Resident Officer in Charge of Construction,Government construction manager,navy,Engineering,
,ROTC,Reserve Officers Training Corps,College officer program,general,training,
,RTB,Return to Base,Return to home location,general,operations,
,S-1,Personnel/Administration Section,HR department,army,admin,
,S-2,Intelligence Section,Intelligence department,army,admin,
,S-3,Operations Section,Operations department,army,admin,
,S-4,Logistics Section,Logistics/supply department,army,admin,
,S-6,Communications/IT Section,IT department,army,admin,
,S1,human resources/personnel,human resources/personnel,army,Acronym,
,S2,intelligence/security,intelligence/security,army,Security,
,S3,operations/training,operations/training,army,Training,
,S4,logistics/supply,logistics/supply,army,Acronym,
,S6,communications/IT,communications/IT,army,Acronym,
,S6 SHOP,Communications/IT Section,"In-house IT/communications team responsible for network support, troubleshooting, and service restoration.",Army,staff_section,
,SABRS,"Standard Accounting, Budgeting, and Reporting System",Marine Corps accounting system,usmc,Financial,
,SAEDA,Subversion and Espionage Directed Against the Army,Insider threat reporting program,army,Intelligence,
,SAG,Sub-Activity Group,Detailed budget grouping,general,Financial,
,Sailors,personnel,personnel,general,Acronym,
,SALUTE,threat report format,threat report format,general,Acronym,
,SAP,special access program,special access program,general,Acronym,
,SAPR,sexual assault prevention,sexual assault prevention,general,Acronym,
,SAR,Search and Rescue,Coordinated time-critical emergency response operations to safeguard personnel and property.,Coast Guard,operations,
,SAR,search and rescue,search and rescue,uscg,Acronym,
,SARC,sexual assault response coordinator,sexual assault response coordinator,navy,Acronym,
,SAROPS,search and rescue planning system,search and rescue planning system,uscg,System,
,SARSS,Standard Army Retail Supply System,retail supply management system,army,logistics,
,SAV,staff assistance visit,staff assistance visit,usaf,Acronym,
,SBCT,Stryker brigade combat team,Stryker brigade combat team,army,Acronym,
,SBIRS,Space-Based Infrared System,Missile warning satellite constellation,general,Space,
,SCA,Security Control Assessor,Independent security auditor,general,Cyber,
,SCI,sensitive compartmented information,sensitive compartmented information,general,Acronym,
,SCLSIS,Ships Configuration and Logistics Support Information System,Configuration management system,navy,technical,
,SCM,summary court-martial,summary court-martial,general,Acronym,
,SCO,security control officer,security control officer,general,Security,
,scuttlebutt,water fountain,water fountain,general,Acronym,
,SDA,Space Development Agency,Space technology development organization,ussf,Space,
,SDDC,Surface Deployment and Distribution Command,Military land/sea shipping command,army,Logistics,
,SEAVAN,Sea Van,Ocean shipping container,general,Logistics,
,SECDEF,Secretary of Defense,Civilian leader of Department of Defense,general,organization,
,SECNAV,Secretary of the Navy,Civilian leader of Navy and Marine Corps,navy,organization,
,SES,Senior Executive Service,Federal civilian senior leadership tier,general,Admin,
,SF,security forces,security forces,usaf,Security,
,SFA,Security Force Assistance,Partner nation security capacity building,general,Intelligence,
,SFC,sergeant first class,sergeant first class,army,Rank,
,SFS,security forces squadron,security forces squadron,usaf,Security,
,SGLI,Servicemembers Group Life Insurance,Military life insurance,general,admin,
,SGM,sergeant major,sergeant major,army,Rank,
,SGT,sergeant,sergeant,army,Rank,
,SHARP,sexual harassment/assault prevention,sexual harassment/assault prevention,general,Acronym,
,SIGACT,Significant Activity,noteworthy event or incident,general,operations,
,SIGINT,Signals Intelligence,Communications intelligence analysis,general,operations,
,SIPR,Secret Internet Protocol Router,classified network,general,cyber,
,SITREP,Situation Report,Status update/report,general,communication,
,SJA,staff judge advocate,staff judge advocate,general,Acronym,
,SK,storekeeper,storekeeper,navy,Rating,
,SKED,Scheduling,Maintenance scheduling system,navy,technical,
,SL,squad leader,squad leader,army,Acronym,
,SLC,Senior Leader Course,Senior supervisor course,army,training,
,SLD,Space Launch Delta,Space Launch Delta,ussf,Acronym,
,SMA,Sergeant Major of the Army,Senior enlisted Army advisor,army,organization,
,SMMC,Sergeant Major of the Marine Corps,Senior enlisted Marine advisor,usmc,organization,
,SMP,squadron maintenance program,squadron maintenance program,usmc,Acronym,
,SMSGT,senior master sergeant,senior master sergeant,usaf,Rank,
,SNCO,senior non-commissioned officer,senior non-commissioned officer,army,Rank,
,SNCOA,Senior NCO Academy,Senior enlisted professional school,usaf,training,
,SNCOIC,senior NCO in charge,senior NCO in charge,usmc,Acronym,
,SNEC,Senior NCO Education Course,Senior leadership course,general,training,
,SOAP,"Subjective, Objective, Assessment, Plan",Standard medical documentation format,general,Medical,
,SOCOM,Special Operations Command,Special Operations Command,general,Organization,
,SOFA,Status of Forces Agreement,Legal framework for troops in foreign countries,general,Intelligence,
,SOI,School of Infantry,School of Infantry,usmc,Acronym,
,Soldier,team member,team member,general,Acronym,
,Soldiers,personnel,personnel,general,Acronym,
,SOP,standard operating procedure,standard operating procedure,general,Acronym,
,SOPS,Space Operations Squadron,Space Operations Squadron,ussf,Acronym,
,SOQ,Statement of Qualifications,Contractor experience submittal,general,Engineering,
,sortie,mission flight,mission flight,general,Acronym,
,SORTS,Status of Resources and Training System,Readiness reporting system,general,compliance,
,SORTS,readiness reporting,readiness reporting,navy,Acronym,
,SOS,Squadron Officer School,Squadron Officer School,usaf,Acronym,
,SOUTHCOM,Southern Command,Southern Command,general,Organization,
,SPACECOM,U.S. Space Command,Military space operations command,general,Space,
,SPAWAR,naval systems command,naval systems command,navy,Organization,
,SPC,specialist,specialist,army,Rank,
,SPCM,special court-martial,special court-martial,general,Acronym,
,SPOC,Space Operations Command,Space Operations Command,ussf,Organization,
,SPOD,Seaport of Debarkation,Military sea cargo receiving terminal,general,Logistics,
,SPOE,Seaport of Embarkation,Military sea cargo departure terminal,general,Logistics,
,spot checks,quality inspections,quality inspections,general,Acronym,
