id,military_phrase,civilian_phrase,branch,category,context_notes,created_at,job_family
,theater security cooperation,international partnership operations,general,operations,,,operations
,ground safety officer,workplace safety officer,usaf,Safety,,,operations
,qualified personnel in,certified personnel in,general,training,,,leadership
,expert marksman,achieved expert-level proficiency certification,general,Training,,,leadership
,warfare qualified,earned professional certification,navy,Training,,,leadership
,base operations,facility operations management,general,Operations,,,operations
,mission essential,business-critical,general,Performance,,,operations
,broke the mold,introduced innovative approaches that redefined standards,general,Performance,,,operations
,intermediate-level maintenance,repair performed at regional maintenance center,general,Equipment,,,operations
,chop chain,review and approval routing,general,Communication,,,operations
,med down,unavailable for duty due to medical reason,general,Medical,,,medical
,restriction,limited privileges as disciplinary measure,general,Admin,,,admin
,field sanitation,environmental health and sanitation,general,medical,,,medical
,put it on the radar,brought it to leadership awareness,general,Communication,,,operations
,battle buddy,accountability partner,army,Leadership,,,leadership
,reenlistment eligible,eligible for contract renewal,general,admin,,,admin
,among the best,recognized as a top performer,general,performance,,,operations
,assigned to,assigned to,general,admin,,,admin
,subject matter expert in,recognized authority in / deep expertise in,general,performance,,,operations
,awarded Meritorious Service Medal,received executive-level achievement award,general,admin,,,admin
,fill rate,staffing level percentage,general,Admin,,,admin
,formal counseling,formal performance documentation session,general,admin,,,admin
,leave chit,time-off request form,navy,Admin,,,admin
,served as CFL,served as physical fitness program coordinator,navy,admin,,,admin
,CENTCOM AOR,Middle East operational region,general,Operations,,,operations
,material condition,equipment and asset condition,navy,Safety,,,operations
,fire drill,fire emergency response drill,general,Safety,,,operations
,ETS,end of term of service date,army,Admin,,,admin
,fitness report,annual performance evaluation,usmc,Admin,,,admin
,medical readiness,health compliance and clearance status,general,Medical,,,medical
,airman of the quarter,employee of the quarter,usaf,Leadership,,,leadership
,clean bill of health,passed all compliance reviews,general,Performance,,,operations
,CDB complete,completed career development board review,navy,Training,,,leadership
,officer call,leadership-only meeting,general,Communication,,,operations
,port and starboard,alternating two-shift rotation,navy,Operations,,,operations
,downrange,in the operational area,general,Operations,,,operations
,executed change of command,completed leadership transition,general,leadership,,,leadership
,served as ADPE custodian,served as IT equipment custodian,usaf,technical,,,operations
,CCC,command career counselor,navy,Admin,,,admin
,flight line operations,aircraft ramp operations / apron management,general,aviation,,,operations
,best in fleet,top-performing unit in the organization,navy,Performance,,,operations
,equipment casualty,equipment failure/malfunction,navy,technical,,,operations
,no findings,received zero audit findings,general,Performance,,,operations
,days underway,days of deployed operations,navy,operations,,,operations
,completed NCOA,completed mid-level leadership development course,usaf,training,,,leadership
,reenlistment,contract renewal,general,Admin,,,admin
,reporting aboard,checking in at new assignment,navy,Admin,,,admin
,sustained exceptional performance,consistently delivered outstanding results,general,performance,,,operations
,board certified,passed oral examination board,general,training,,,leadership
,outstanding rating,achieved the highest performance rating,general,Performance,,,operations
,in country,deployed to the region,general,Operations,,,operations
,above and beyond,exceeded all performance expectations,general,Performance,,,operations
,highest state of readiness,peak operational performance,general,Performance,,,operations
,joint and combined operations,multi-organizational and international operations,general,operations,,,operations
,received Letter of Commendation,received formal written recognition from senior leadership,general,admin,,,admin
,RFI,ready for issue or fully serviceable,general,Equipment,,,operations
,unfunded requirements list,unfunded budget request / supplemental funding request,general,financial,,,finance
,earned 9-level,achieved superintendent-level certification,usaf,training,,,leadership
,guided junior personnel,mentored entry-level employees,general,Leadership,,,leadership
,pre-deployment workup,pre-assignment preparation and training,general,Operations,,,operations
,supervised the training of,oversaw professional development for,general,leadership,,,leadership
,supported ATG assessment,supported external readiness assessment team,navy,compliance,,,admin
,combined operations,multi-organization collaborative operations,general,Operations,,,operations
,submitted awards,submitted employee recognition nominations,army,admin,,,admin
,passed INSURV,passed major regulatory compliance inspection,navy,compliance,,,admin
,NSTM,Naval Ships Technical Manual / technical reference,navy,technical,,,operations
,program objective memorandum,multi-year budget proposal / strategic financial plan,general,financial,,,finance
,ORM,operational risk management assessment,navy,Safety,,,operations
,movement to contact,proactive engagement / outreach operations,general,operations,,,operations
,surge,increased operational capacity,general,Operations,,,operations
,cost-benefit analysis,cost-benefit analysis / return on investment analysis,general,financial,,,finance
,sustained operations,continuous operations / around-the-clock activities,general,operations,,,operations
,medical readiness classification,employee health clearance status,general,medical,,,medical
,earned information warfare designation,earned information operations warfare qualification,navy,training,,,leadership
,groomed for command,developed for senior leadership,general,Leadership,,,leadership
,heads up,advance notification of upcoming issue,general,Communication,,,operations
,received Purple Heart,received combat injury recognition,general,admin,,,admin
,OER,officer performance evaluation,army,Admin,,,admin
,sustainment operations,ongoing support and resupply operations,general,logistics,,,logistics
,school trained not yet qualified,completed coursework pending on-the-job certification,general,Training,,,leadership
,served as OIC,served as officer-in-charge / program director,army,leadership,,,leadership
,FYI traffic,information-only distribution,general,Communication,,,operations
,completed deployment,completed extended field assignment,general,operations,,,operations
,DD-214,certificate of release from employment,general,Admin,,,admin
,syllabus complete,completed required curriculum,general,Training,,,leadership
,detaching,separating from current assignment,navy,Admin,,,admin
,safety violation,safety noncompliance finding,general,Safety,,,operations
,participated in COMPTUEX,participated in comprehensive operational training exercise,navy,training,,,leadership
,intelligence cycle,research and analysis lifecycle,general,intel,,,operations
,survey,formal process for writing off damaged or lost equipment,general,Equipment,,,operations
,operational readiness,organizational preparedness,general,Performance,,,operations
,completed Warrior Leader Course,completed initial leadership development course,army,training,,,leadership
,weapons qualification,proficiency certification / skills verification,general,training,,,leadership
,dwell time,time between operational rotations,general,Operations,,,operations
,instilled discipline,established accountability and work standards,general,Leadership,,,leadership
,tasker,assigned project or action item from leadership,general,Communication,,,operations
,PT standards,physical fitness standards,general,Medical,,,medical
,Halon system,fixed gas fire suppression system,navy,technical,,,operations
,frocked to Chief,given acting senior management authority,navy,admin,,,admin
,key leader engagement,executive stakeholder relationship management,general,leadership,,,leadership
,locked on,fully committed and focused,general,Performance,,,operations
,A school graduate,completed initial technical training,navy,Training,,,leadership
,served as first sergeant,served as senior enlisted manager for 100-200 personnel,army,leadership,,,leadership
,set the example for others to follow,modeled professional behavior and performance,general,Leadership,,,leadership
,class C mishap,severity level 3 incident with moderate impact,general,Safety,,,operations
,sortie generation,flight operations throughput / aircraft mission launch rate,general,aviation,,,operations
,fragmentary order,amendment to existing plan,general,Operations,,,operations
,mission command,empowered leadership / decentralized decision-making,general,leadership,,,leadership
,battle staff,executive operations team / crisis management team,general,leadership,,,leadership
,pre-expend,pre-staged supplies for immediate use,general,Equipment,,,operations
,resource management officer,budget manager / financial controller,general,financial,,,finance
,contracting officer representative,contract manager / vendor relationship manager,general,financial,,,finance
,ensured training readiness,verified all staff met training requirements,general,training,,,leadership
,combat proven,validated through operational experience,general,Performance,,,operations
,cross-deck,transferred equipment between units,navy,Equipment,,,operations
,served as company gunnery sergeant,served as senior operations manager,usmc,leadership,,,leadership
,squared away,thoroughly organized and prepared,general,Performance,,,operations
,served as security manager,served as information security program manager,navy,security,,,operations
,full send,committed fully to achieving the objective,general,Performance,,,operations
,deployment ready,certified operationally ready,general,compliance,,,admin
,conducted change of command inventory,conducted leadership transition property audit,army,admin,,,admin
,unmatched technical expertise,unparalleled technical expertise in the field,general,performance,,,operations
,administrative reduction,demotion / reduction in grade,general,admin,,,admin
,passed with flying colors,achieved superior results in evaluation,general,Performance,,,operations
,raised the bar,elevated performance standards,general,Leadership,,,leadership
,zero defect mentality,zero-error mindset / quality-first approach,general,performance,,,operations
,phone tree,emergency communication cascade,general,Operations,,,operations
,stood up a new unit,established a new department / launched a new team,general,leadership,,,leadership
,access control,facility access control management,general,security,,,operations
,safety investigation board,incident investigation committee,general,Safety,,,operations
,frocked to,given acting authority at higher level,navy,admin,,,admin
,intelligence preparation of the battlefield,comprehensive environmental analysis / market intelligence,general,intel,,,operations
,danger tag,lockout/tagout safety tag,navy,technical,,,operations
,attended SLC,completed senior supervisor leadership course,army,training,,,leadership
,equipment readiness rate,equipment availability percentage,general,Equipment,,,operations
,maintained the watch,ensured continuous operational coverage,navy,operations,,,operations
,unified the effort,aligned cross-functional teams toward common goals,general,Leadership,,,leadership
,range qualified,certified in equipment operation and safety,general,Training,,,leadership
,safety petty officer,department safety coordinator,navy,Safety,,,operations
,COOL program participant,enrolled in civilian credentialing program,general,Training,,,leadership
,served as adjutant,served as chief administrative officer,general,leadership,,,leadership
,tag-out procedures,lockout/tagout safety procedures,navy,technical,,,operations
,brief sheet,one-page summary document,general,Communication,,,operations
,Class IV supplies,construction materials,general,Equipment,,,operations
,logistics support area,supply and distribution center,general,logistics,,,logistics
,led joint operations,managed cross-functional initiatives,general,leadership,,,leadership
,maintenance turnaround,aircraft servicing cycle / turnaround time,general,aviation,,,operations
,requisition,purchase order or supply request,general,Equipment,,,operations
,gas free engineering,atmospheric testing and safety certification,navy,Safety,,,operations
,served as XO,served as deputy director/chief operating officer,navy,leadership,,,leadership
,board qualified,passed comprehensive oral qualification examination,general,training,,,leadership
,the finest Senior Chief I have served with,the most exceptional senior manager in my career,navy,performance,,,operations
,general quarters drill,full-scale emergency response exercise,navy,training,,,leadership
,convoy operations,coordinated fleet movement operations,army,Operations,,,operations
,command fitness leader,unit physical fitness program coordinator,navy,Medical,,,medical
,supported TSTA/FEP,supported multi-phase operational readiness training,navy,training,,,leadership
,awarded Army Commendation Medal,received superior performance award,army,admin,,,admin
,advanced to,promoted to,general,admin,,,admin
,served as 3M work center supervisor,served as maintenance section supervisor,navy,technical,,,operations
,conducted inventories,performed asset accountability audits,army,admin,,,admin
,EAOS,end of active obligated service date,navy,Admin,,,admin
,brought to bear,leveraged all available resources,general,Performance,,,operations
,watch team supervisor,shift operations supervisor,navy,operations,,,operations
,served as BN training NCO,served as organization training manager,army,training,,,leadership
,SAPR victim advocate,confidential victim support specialist,general,Admin,,,admin
,risk management framework,cybersecurity risk management framework / NIST compliance,general,cyber,,,cyber
,CONUS,domestic United States,general,Operations,,,operations
,briefed the CO,briefed senior executive leadership,navy,communication,,,operations
,dual-hatted,served in dual roles simultaneously,general,Training,,,leadership
,completed SOS,completed company-grade officer professional school,usaf,training,,,leadership
,affirmative,yes or confirmed,general,Communication,,,operations
,general court-martial,formal felony-level legal proceeding,general,legal,,,legal
,annual training requirements,annual compliance and certification requirements,general,training,,,leadership
,briefed the XO,briefed deputy director/COO,navy,communication,,,operations
,COMSEC custodian,communications security custodian,general,security,,,operations
,attached to,temporarily assigned to,general,admin,,,admin
,Class III supplies,fuel and lubricants,general,Equipment,,,operations
,held the watch,maintained oversight / served as duty manager,general,leadership,,,leadership
,humanitarian assistance operations,disaster relief and humanitarian aid operations,general,operations,,,operations
,top performer in division,ranked as top performer in department,general,performance,,,operations
,100% accountability,maintained complete asset accountability,general,performance,,,operations
,overmanned,staffed above authorized level,general,Admin,,,admin
,HAZMAT program,hazardous materials management program,general,Safety,,,operations
,command sponsorship,employee sponsorship / relocation assistance,general,admin,,,admin
,earned Ranger tab,completed elite small unit leadership course,army,training,,,leadership
,TM,technical manual or equipment documentation,army,Equipment,,,operations
,operations center management,command center management / operations hub oversight,general,operations,,,operations
,AFFF system,aqueous film-forming foam fire suppression system,navy,technical,,,operations
,unmatched performance,top-tier performance among peers,general,Performance,,,operations
,served as PQS coordinator,served as certification and qualification program manager,navy,training,,,leadership
,trained the next generation,developed the talent pipeline,general,Leadership,,,leadership
,entrusted with,selected to manage,general,Leadership,,,leadership
,indications and warnings,early warning indicators / predictive analysis,general,intel,,,operations
,stood up a command,established a new organization,general,Operations,,,operations
,processed out-processing checklist,completed employee offboarding checklist,general,admin,,,admin
,moved the needle,produced measurable improvement,general,Performance,,,operations
,GQ,general quarters emergency readiness drill,navy,Safety,,,operations
,served as section chief,served as team supervisor for 10-20 personnel,usaf,leadership,,,leadership
,fleet returnee,experienced operational professional returning from field assignment,navy,operations,,,operations
,set the tone,established organizational standards,general,Leadership,,,leadership
,qualified as OOD,certified as senior operations shift supervisor,navy,operations,,,operations
,eval/fitrep,annual performance review,navy,Admin,,,admin
,talking points,prepared key messages for discussion,general,Communication,,,operations
,completed Corporals Course,completed first-line supervisor course,usmc,training,,,leadership
,completed Advanced Course,completed senior supervisor course,usmc,training,,,leadership
,duty roster management,work schedule management / shift scheduling,general,admin,,,admin
,trusted agent,key team member,general,Leadership,,,leadership
,conducted ORI preparation,prepared organization for major readiness inspection,usaf,compliance,,,admin
,fostered a culture of excellence,cultivated a high-performance work environment,general,Leadership,,,leadership
,served on promotion board,served on promotion selection committee,army,admin,,,admin
,OPTAR,operating target or department budget allocation,navy,Equipment,,,operations
,check in/check out,in-process and out-process,general,Admin,,,admin
,ESWS qualified,earned enlisted surface warfare specialist certification,navy,Training,,,leadership
,officer record brief,professional profile / executive summary,general,admin,,,admin
,prime power operations,large-scale power generation / electrical utility management,general,engineering,,,operations
,interagency coordination,cross-organizational coordination,general,Operations,,,operations
,property book,organizational property accountability record,army,Equipment,,,operations
,humanitarian assistance,disaster relief and humanitarian aid,general,Operations,,,operations
,assumed duties in the absence of,served as acting manager during absence of,general,leadership,,,leadership
,direct report to,direct report to,general,leadership,,,leadership
,on point,consistently accurate and reliable,general,Performance,,,operations
,SIQ,on bed rest per medical order,navy,Medical,,,medical
,conducted inventory,performed inventory audit,general,logistics,,,logistics
,promote ahead of peers,recommended for early promotion over contemporaries,general,performance,,,operations
,awarded Army Achievement Medal,received organizational achievement award,army,admin,,,admin
,TA approved,approved for employer-funded education,general,Training,,,leadership
,orders,assignment documentation,general,Admin,,,admin
,counter-insurgency operations,complex security and stabilization operations,general,operations,,,operations
,instructor qualified,certified as professional instructor,general,training,,,leadership
,say again,please repeat for clarification,general,Communication,,,operations
,classified material handling,sensitive document management / confidential records handling,general,admin,,,admin
,by the numbers,following standard procedures step by step,general,Communication,,,operations
,back on track,restored to standard performance,general,Performance,,,operations
,operations order,detailed project execution plan,general,Operations,,,operations
,high speed low drag,efficient and effective,general,Performance,,,operations
,profile,medical work restriction documentation,army,Medical,,,medical
,go-to person,subject matter expert and reliable contributor,general,Leadership,,,leadership
,fully mission qualified,fully certified for all operational duties,general,training,,,leadership
,communications security,information security / encrypted communications management,general,comms,,,operations
,authority to operate,security authorization / system accreditation,general,cyber,,,cyber
,decisive operations,primary effort / main objective operations,general,operations,,,operations
,span of control,number of direct reports / management scope,general,leadership,,,leadership
,Class VIII supplies,medical supplies and equipment,general,Equipment,,,operations
,hoseman,fire suppression support operator,navy,operations,,,operations
,counseling chit,performance counseling documentation,navy,Admin,,,admin
,guidance from above,direction from senior management,general,Communication,,,operations
,electrical safety program,electrical hazard prevention program,general,Safety,,,operations
,served as NCOIC,served as senior noncommissioned supervisor,army,leadership,,,leadership
,PHA,periodic health assessment,general,Medical,,,medical
,served as command sergeant major,served as senior enlisted executive advisor,army,leadership,,,leadership
,dental readiness,dental health compliance status,general,Medical,,,medical
,served as LPO,served as front-line team lead,navy,leadership,,,leadership
,served as division officer,served as department manager,navy,leadership,,,leadership
,supported real-world operations,supported live operational missions,general,operations,,,operations
,spot checks,quality assurance inspections,general,technical,,,operations
,maintained TS/SCI clearance,holds active Top Secret/SCI security clearance,general,security,,,operations
,decisive leadership,confident and timely decision-making,general,leadership,,,leadership
,no safety violations,zero OSHA/safety violations,general,performance,,,operations
,responsible for the welfare of,accountable for the well-being of,general,Leadership,,,leadership
,REDCON level,readiness condition level,army,Operations,,,operations
,lesson plan author,authored instructional materials and course content,general,Training,,,leadership
,curriculum developer,designed and developed training materials,general,Training,,,leadership
,number one of all peers,top-ranked employee among all peers,general,Performance,,,operations
,PQS qualified in,professionally qualified and certified in,navy,training,,,leadership
,PACOM AOR,Pacific region of operations,general,Operations,,,operations
,passed inspection,achieved full compliance during audit,general,compliance,,,admin
,cyber hygiene,cybersecurity best practices / security awareness,general,cyber,,,cyber
,served in combat zone,served in high-risk operational environment,general,operations,,,operations
,DRMO turn-in,coordinated surplus property disposal,general,logistics,,,logistics
,administrative separation,involuntary termination / administrative discharge,general,admin,,,admin
,earned air warfare designation,earned aviation operations warfare qualification,navy,training,,,leadership
,spot check,unannounced compliance inspection,general,Safety,,,operations
,served on command triad,served on executive leadership team,navy,leadership,,,leadership
,served as squad leader,served as team supervisor for 9-13 personnel,army,leadership,,,leadership
,task organized,restructured teams for specific objectives,general,leadership,,,leadership
,pass the word,disseminate information,navy,Communication,,,operations
,tireless work ethic,consistently high-performing,general,Leadership,,,leadership
,IDP on file,individual development plan documented,general,Training,,,leadership
,deckplate leader,hands-on frontline leader,navy,leadership,,,leadership
,unity of effort,coordinated teamwork / aligned objectives,general,leadership,,,leadership
,completed maintenance checks,completed preventive maintenance inspections,general,technical,,,operations
,pinned Chief,promoted to senior management level,navy,admin,,,admin
,briefed general officers,presented to C-suite executives,army,communication,,,operations
,muster,accountability formation or roll call,navy,Admin,,,admin
,medical evacuation operations,emergency patient transport / air ambulance operations,general,medical,,,medical
,stood up the JOC,established the joint operations center,general,Operations,,,operations
,stood EOOW watches,supervised 24/7 engineering plant operations as shift supervisor,navy,operations,,,operations
,built unit cohesion,strengthened team collaboration and morale,general,Leadership,,,leadership
,all-hands call,organization-wide town hall meeting,general,Communication,,,operations
,served as senior enlisted advisor,served as senior workforce advisor,general,Leadership,,,leadership
,developed lesson plans,created training curriculum / designed course materials,general,training,,,leadership
,served as superintendent,served as senior operations superintendent,usaf,leadership,,,leadership
,served as scene leader,served as on-scene incident commander,navy,operations,,,operations
,produced intelligence estimates,produced analytical forecasts / risk assessments,general,intel,,,operations
,command ombudsman,employee liaison and family support coordinator,navy,Admin,,,admin
,no discrepancies noted,clean audit results with no findings,general,compliance,,,admin
,surface warfare qualified,earned surface operations professional certification,navy,Training,,,leadership
,budget execution,budget management and expenditure tracking,general,financial,,,finance
,maintained satellite communications,managed satellite-based communications systems,general,comms,,,operations
,signed off,certified and approved,general,Training,,,leadership
,FMC,fully mission capable or fully operational,general,Equipment,,,operations
,served as at-sea fire party member,served as emergency fire response team member,navy,operations,,,operations
,Class IX supplies,repair parts and components,general,Equipment,,,operations
,signed PQS for,certified personnel qualification completion for,navy,training,,,leadership
,cross-trained,trained across multiple disciplines,general,Training,,,leadership
,fit for duty,cleared for full work duties,general,Medical,,,medical
,submitted SITREP,submitted status report to leadership,general,communication,,,operations
,command and control,management oversight and coordination,general,leadership,,,leadership
,explosive safety,explosive and ordnance safety protocols,general,Safety,,,operations
,hand receipt,signed equipment custody document,army,Equipment,,,operations
,established battle rhythm,established recurring operational cadence,general,leadership,,,leadership
,read ahead,pre-meeting briefing materials,general,Communication,,,operations
,confined space entry,confined space entry safety procedure,general,Safety,,,operations
,triage operations,emergency patient prioritization / triage management,general,medical,,,medical
,zero deficiencies,zero audit findings/deficiencies,general,compliance,,,admin
,service record,official personnel file,general,Admin,,,admin
,mishap free,zero workplace incidents,general,safety,,,operations
,SITREP,situation report or status update,general,Communication,,,operations
,mission debrief,after-action review meeting,general,Operations,,,operations
,exceeds standards,consistently surpasses performance benchmarks,general,performance,,,operations
,left seat right seat ride,supervised transition period with predecessor,army,Operations,,,operations
,ran a tight ship,maintained high operational standards,general,Leadership,,,leadership
,served as CPO mess president,served as senior management council president,navy,leadership,,,leadership
,equipment serviceability rate,equipment availability / asset uptime rate,general,logistics,,,logistics
,maintained AF Form 623,maintained individual training records,usaf,admin,,,admin
,vulnerability assessment,security vulnerability assessment / penetration testing,general,cyber,,,cyber
,preflight inspection,pre-operation safety inspection / equipment check,general,aviation,,,operations
,mission planning,project planning and preparation,general,Operations,,,operations
,a consummate professional,a consummate professional,general,performance,,,operations
,selected as Blue Jacket of the Year,selected as top entry-level employee of the year,navy,performance,,,operations
,must promote,highest recommendation for immediate promotion,general,performance,,,operations
,copy,message received and understood,general,Communication,,,operations
,PPE compliance,personal protective equipment compliance,general,Safety,,,operations
,FLIPL,financial liability investigation for lost property,army,Equipment,,,operations
,fiscal year planning,annual budget planning / fiscal year forecasting,general,financial,,,finance
,delivered results under pressure,produced outcomes in demanding conditions,general,performance,,,operations
,conducted ship-to-shore movement,coordinated complex personnel and equipment transfer operations,usmc,operations,,,operations
,earned Enlisted Surface Warfare Specialist,earned advanced surface operations qualification,navy,training,,,leadership
,forward deployed,assigned to remote operations,navy,operations,,,operations
,special request chit,formal request form,navy,Admin,,,admin
,anti-piracy operations,maritime law enforcement operations,navy,operations,,,operations
,stand by,please wait for further information,general,Communication,,,operations
,COMSEC material,encrypted communications material,general,security,,,operations
,imagery intelligence,satellite and aerial imagery analysis,general,intel,,,operations
,brought online,successfully launched,general,Performance,,,operations
,served as CMEO,served as equal opportunity program manager,navy,admin,,,admin
,FPCON,security alert level,general,Operations,,,operations
,steady state,normal operations,general,Operations,,,operations
,SNCO academy graduate,completed senior leadership development program,general,Training,,,leadership
,hazard identification,workplace hazard identification,general,safety,,,operations
,#1 of all E-7s,ranked #1 among all senior managers,navy,performance,,,operations
,up and running,fully operational,general,Performance,,,operations
,served as PME instructor,served as professional development instructor,usmc,training,,,leadership
,earned Expert Infantry Badge,earned advanced infantry proficiency certification,army,training,,,leadership
,up the chain,escalated to higher management,general,Communication,,,operations
,indoc,new employee orientation program,general,Admin,,,admin
,patrol base operations,forward operating base activities / remote site operations,general,operations,,,operations
,held feet to the fire,enforced accountability for deliverables,general,Leadership,,,leadership
,stability operations,stabilization and support activities,general,operations,,,operations
,class B mishap,severity level 2 incident with significant damage,general,Safety,,,operations
,threat assessment,risk assessment / threat analysis,general,intel,,,operations
,counter-terrorism operations,counter-terrorism and force protection operations,general,operations,,,operations
,THA,tool hazard analysis,general,Safety,,,operations
,organizational-level maintenance,routine maintenance performed by operating unit,general,Equipment,,,operations
,earned Airman of the Quarter,selected as employee of the quarter,usaf,performance,,,operations
,tag out,lockout/tagout safety procedure,navy,Safety,,,operations
,knocked it out of the park,far exceeded expectations,general,Performance,,,operations
,noncombatant evacuation,civilian evacuation operations,general,operations,,,operations
,served as battalion sergeant major,served as senior enlisted executive advisor for 800+ personnel,usmc,leadership,,,leadership
,principal advisor to the commander,chief advisor to the executive director,general,Leadership,,,leadership
,human intelligence,human source information gathering / interview-based research,general,intel,,,operations
,combat stress control,crisis counseling / behavioral health support,general,medical,,,medical
,marine of the quarter,employee of the quarter,usmc,Leadership,,,leadership
,established communications architecture,designed and deployed network infrastructure,general,comms,,,operations
,supply discipline,inventory control / asset accountability,general,logistics,,,logistics
,fund execution rate,budget utilization rate / spend rate,general,financial,,,finance
,conducted AAR,led post-project lessons learned review,general,communication,,,operations
,stood watch,supervised operational shift,navy,operations,,,operations
,passed LOE,passed engineering systems readiness examination,navy,compliance,,,admin
,served as CO,served as commanding officer/chief executive,navy,leadership,,,leadership
,CPO Mess,Senior Leadership Team,navy,leadership,,,leadership
,FMF qualified,earned Fleet Marine Force qualification,navy,Training,,,leadership
,conducted training,developed and delivered training,general,training,,,leadership
,in-processing procedures,employee onboarding procedures,general,admin,,,admin
,roger that,understood and acknowledged,general,Communication,,,operations
,100% mission completion,achieved a 100% task completion rate,general,Performance,,,operations
,material inspection,equipment condition assessment,navy,compliance,,,admin
,fall protection,fall prevention and safety system,general,Safety,,,operations
,set the standard,established the performance benchmark,general,Performance,,,operations
,huddle up,quick team meeting,general,Communication,,,operations
,CBRN drill,"chemical, biological, radiological, nuclear response drill",general,Safety,,,operations
,from the ground up,from initial concept to completion,general,Performance,,,operations
,career counselor,employee career advisor,general,Admin,,,admin
,selected as Sailor of the Quarter,selected as employee of the quarter,navy,performance,,,operations
,served as platoon sergeant,served as senior operations supervisor for 40+ personnel,usmc,leadership,,,leadership
,maximum effort,full commitment to achieving results,general,Performance,,,operations
,firemain system,facility fire water distribution system,navy,technical,,,operations
,urinalysis coordinator,workplace drug testing program coordinator,general,Admin,,,admin
,qualified in rate,earned professional certification in specialty,general,training,,,leadership
,unfunded requirement,budget shortfall for required item,general,Equipment,,,operations
,earned the trust and confidence of,earned the full confidence of senior leadership,general,performance,,,operations
,flag it,highlight for leadership attention,general,Communication,,,operations
,received Defense Meritorious Service Medal,received defense-level executive achievement award,general,admin,,,admin
,master training specialist,certified master instructor / lead training facilitator,general,training,,,leadership
,tech school graduate,completed technical skills training,usaf,Training,,,leadership
,directed multi-echelon operations,managed multi-level organizational operations,general,leadership,,,leadership
,accountability report,personnel status and location report,general,Operations,,,operations
,backbone of the unit,essential to organizational success,general,Leadership,,,leadership
,be advised,please note the following information,general,Communication,,,operations
,completed advanced training,completed advanced professional development,general,training,,,leadership
,exceeded readiness goals,surpassed operational preparedness targets,general,Performance,,,operations
,manning document,staffing authorization document,general,Admin,,,admin
,light duty,modified work assignment due to medical restriction,general,Medical,,,medical
,built the team from scratch,recruited and developed a new team,general,Leadership,,,leadership
,boots on the ground,deployed personnel,general,Operations,,,operations
,charted the course,developed the strategic direction,navy,Leadership,,,leadership
,medical supply management,pharmaceutical and medical supply chain management,general,medical,,,medical
,served as platoon sergeant,served as senior operations supervisor for 30-50 personnel,army,leadership,,,leadership
,served as platoon leader,served as operations team lead,army,leadership,,,leadership
,coordinated with adjacent units,coordinated with peer departments / partner teams,general,operations,,,operations
,network security monitoring,security operations center monitoring / SIEM management,general,cyber,,,cyber
,undermanned,staffed below authorized level,general,Admin,,,admin
,GMT complete,completed mandatory annual compliance training,general,Training,,,leadership
,superior mission accomplishment,exceptional project delivery / outstanding results,general,performance,,,operations
,brief up,present to leadership,general,Communication,,,operations
,breaking in,onboarding and training,general,Training,,,leadership
,battle damage assessment,impact and damage evaluation,general,Operations,,,operations
,performed with distinction,delivered exceptional results / excelled,general,performance,,,operations
,completed Career Course,completed mid-level supervisor course,usmc,training,,,leadership
,drove results,consistently delivered measurable outcomes,general,Leadership,,,leadership
,unity of command,clear reporting structure / single point of authority,general,leadership,,,leadership
,meritorious promotion,performance-based early promotion,general,admin,,,admin
,received Letter of Appreciation,received formal written appreciation from leadership,general,admin,,,admin
,survivability positions,reinforced protective structures / hardened facilities,general,engineering,,,operations
,aircraft weight and balance,load planning / weight distribution management,general,aviation,,,operations
,coordinated with higher headquarters,coordinated with corporate headquarters / senior leadership,general,operations,,,operations
,distinguished graduate,graduated with honors,general,Performance,,,operations
,earned Airborne qualification,completed airborne operations certification,army,training,,,leadership
,served as fire team leader,served as small team lead,general,leadership,,,leadership
,in theater,on-site at operational location,general,operations,,,operations
,unprecedented results,achieved historic performance milestones,general,Performance,,,operations
,staff meeting,leadership coordination meeting,general,Communication,,,operations
,net call,conference call or group communication,general,Communication,,,operations
,rear detachment,home station support team,army,Operations,,,operations
,safety observer,safety monitor,general,Safety,,,operations
,network operations center,IT operations center / network management hub,general,comms,,,operations
,personnel readiness,workforce readiness / staffing preparedness,general,admin,,,admin
,PCS to,transferred/relocated to,general,admin,,,admin
,MOS qualified,certified in occupational specialty,army,Training,,,leadership
,IA deployment,individual deployment/temporary assignment,general,operations,,,operations
,sustained superior performance,maintained outstanding results over an extended period,general,Performance,,,operations
,zero lost time,zero lost-time incidents,general,performance,,,operations
,sharpened the focus,refined team priorities and direction,general,Leadership,,,leadership
,military justice,workplace disciplinary process / legal proceedings,general,legal,,,legal
,corrective maintenance,corrective/reactive maintenance repair,general,technical,,,operations
,reset operations,equipment refurbishment and reconditioning,general,logistics,,,logistics
,at the deckplate level,at the operational/front-line level,navy,leadership,,,leadership
,combat effective,fully operational and productive,general,performance,,,operations
,operational command,executive oversight / operational authority,general,leadership,,,leadership
,evening brief,end-of-day status meeting,general,Communication,,,operations
,Class I supplies,food and subsistence items,general,Equipment,,,operations
,after-action report,post-project lessons learned report,general,Operations,,,operations
,relieved the watch,completed shift turnover,navy,operations,,,operations
,mission-ready status,fully operational and prepared,general,performance,,,operations
,managed a fighting force,managed a high-performance team,general,Leadership,,,leadership
,PQS qualified,completed qualification program,navy,Training,,,leadership
,watch station qualified,certified to operate independently at assigned station,navy,Training,,,leadership
