military_term,civilian_equivalent,context,category,example_military,example_civilian
CI,counterintelligence / insider threat detection,intelligence,intelligence,,
national intelligence,strategic-level analysis,intelligence,intelligence,,
RADAR,radar systems / detection equipment,general,equipment,,
HBSS,host-based security system / endpoint protection platform,cyber,cyber,,
OSINT,open-source intelligence / publicly available information analysis,intelligence,intelligence,,
expeditionary,mobile / rapid deployment capable,general,term,,
gouge,study guide / insider information,general,term,,
battle buddy,accountability partner / work partner,general,term,,
SrA (Senior Airman),Technician / Specialist,usaf,rank,,
VHA,Variable Housing Allowance,general,acronym,,
tacon,tactical control / field-level authority,general,term,,
budget execution,spending management / fiscal plan implementation,financial,financial,,
mess,dining facility / cafeteria,general,term,,
SOW,statement of work / project scope document,logistics,acquisition,,
MSgt,master sergeant / senior manager,usaf,leadership,,
SCI,Sensitive Compartmented Information,general,acronym,,
GPS equipment,navigation systems / location tracking,general,equipment,,
enlisted,non-management / technical staff,general,term,,
ops,operations,general,term,,
brigade,division of 3000-5000 employees,general,unit type,,
exchange,retail store / company store,general,term,,
SF,Standard Form,general,acronym,,
SM,service member / employee,general,acronym,,
evaluation,performance review / employee appraisal,personnel,personnel,,
movement order,travel directive / relocation order,general,term,,
PPE,personal protective equipment,general,acronym,,
3MC,Maintenance Management Coordinator,navy,maintenance,,
expectant,beyond immediate medical capability,medical,medical,,
SSO,security officer,general,technical,,
asset,confidential source / information provider,intelligence,intelligence,,
indoctrination,security orientation and access briefing,intelligence,intelligence,,
DOD,Department of Defense,general,acronym,,
taxi,ground movement of aircraft,aviation,aviation,,
NJP,Non-Judicial Punishment / disciplinary action,general,acronym,,
PME,Professional Military Education / professional development,general,acronym,,
DCTT,emergency response training team,navy,technical,,
execute order,go-ahead directive / implementation order,general,term,,
AR,policy regulation,army,admin,,
clemency,sentence reduction / penalty mitigation,legal,legal,,
COIN,counterinsurgency / population-centric stability operations,general,special operations,,
OIC,Officer in Charge / department head,general,acronym,,
organic,internally owned / in-house,general,term,,
spin up,prepare rapidly / get up to speed,general,term,,
PMS,preventive maintenance,navy,technical,,
consumption rate,usage rate / burn rate,logistics,logistics,,
PMC,partially mission capable / partially operational,aviation,aviation,,
DLR,repairable component,navy,technical,,
PFA,Physical Fitness Assessment,general,acronym,,
pre-deployment,pre-project / preparation phase,general,term,,
fireteam,small team / work group of 4,general,term,,
KO,contracting officer / procurement authority,logistics,acquisition,,
troop,soldier / staff member,general,term,,
MRE,Meal Ready to Eat / field rations,general,acronym,,
medevac,medical evacuation / emergency transport,general,term,,
war reserve,emergency stockpile / strategic reserve,logistics,logistics,,
JFTR,Joint Federal Travel Regulation,general,acronym,,
sea duty,deployable assignment / field position,general,term,,
military judge,presiding judicial officer,legal,legal,,
privacy act,personal data protection regulation,legal,legal,,
COTS,commercial off-the-shelf,general,acronym,,
market research,vendor and industry analysis,logistics,acquisition,,
mine clearance,explosive ordnance removal / minefield remediation,engineering,engineering,,
SQ,Employee of the Quarter,navy,awards,,
transfer,relocation / reassignment,general,admin,,
operational tempo,work pace / activity level,general,term,,
1SG (First Sergeant),Operations Manager,army,rank,,
chit,request form / approval document,general,term,,
demand history,usage trend / historical consumption data,logistics,logistics,,
EEO,Equal Employment Opportunity,general,acronym,,
TSgt (Technical Sergeant),Senior Supervisor,usaf,rank,,
MILPERSMAN,personnel policy manual,navy,admin,,
LtCol (Lieutenant Colonel),Senior Director,usmc,rank,,
issue,distribute / provide from stock,logistics,logistics,,
general quarters,emergency response / all-hands situation,general,term,,
source selection,vendor evaluation and selection process,logistics,acquisition,,
technical evaluation,capability assessment,logistics,acquisition,,
all hands,all employees / full staff,navy,general,,
battle stations,emergency response protocol,general,operations,,
bulkhead,wall,navy,general,,
DPW,director of public works / facilities management director,engineering,engineering,,
IDES,integrated disability evaluation system / medical disability review process,medical,medical,,
will preparation,estate planning document / legal testament drafting,legal,legal,,
RIMPAC,Rim of the Pacific Exercise,general,acronym,,
walking wounded,ambulatory injured / self-mobile patient,medical,medical,,
warrant officer,technical expert / senior specialist,general,term,,
CYBERSEC,cybersecurity,general,technical,,
OPNAV,Office of the Chief of Naval Operations,general,acronym,,
MARADMIN,Marine Administrative Message,general,acronym,,
redline,critical threshold / do-not-exceed limit,general,term,,
legal assistance,pro bono legal services / employee legal aid,legal,legal,,
LOR,letter of reprimand / written disciplinary warning,personnel,personnel,,
JKO,online learning platform,general,training,,
UAV,unmanned aerial vehicle / drone,general,acronym,,
marshalling,aircraft ground guidance / directing vehicle movement,aviation,aviation,,
TCCC,tactical combat casualty care / battlefield emergency medicine,medical,medical,,
small business set-aside,reserved competition for small businesses,logistics,acquisition,,
FLIR,thermal imaging / infrared camera,general,equipment,,
cost analysis,pricing review / financial evaluation,logistics,acquisition,,
AFB,Air Force Base / facility,general,acronym,,
mission ready,prepared / operational / qualified,general,term,,
jury panel,deliberation panel / jury members,legal,legal,,
ACDU,active duty,general,acronym,,
BASH,bird/wildlife aircraft strike hazard / wildlife collision prevention,aviation,aviation,,
deck,floor,navy,general,,
need-to-know,access restricted to relevant personnel,intelligence,intelligence,,
NCOER support form,performance planning document,army,admin,,
security classification guide,information protection policy document,logistics,acquisition,,
OSI,Office of Special Investigations,general,acronym,,
fraternization,inappropriate workplace relationship,general,term,,
underway,in progress / actively operating,general,term,,
platoon sergeant,operations supervisor,army,leadership,,
SONAR,underwater detection systems / acoustic sensors,general,equipment,,
COSAL,parts inventory system,navy,technical,,
MILPER,military personnel,general,acronym,,
augmentee,temporary additional staff,general,admin,,
warning order,advance notice / heads-up notification,general,term,,
family separation allowance,deployment family supplement,financial,financial,,
Green Beret,Army Special Forces soldier,general,special operations,,
CQ,charge of quarters / after-hours supervisor,army,operations,,
restriction,limited privileges / probation,general,term,,
confinement,imprisonment / incarceration,legal,legal,,
staff duty,after-hours duty officer,army,operations,,
HQDA,Headquarters Department of the Army,general,acronym,,
incident response,cybersecurity event management / breach response,cyber,cyber,,
officer,manager / executive,general,term,,
range qualified,certified in weapons safety,general,training,,
touchpoint,check-in meeting / coordination point,general,term,,
FST,forward surgical team / mobile surgical unit,medical,medical,,
tactical intelligence,operational-level analysis,intelligence,intelligence,,
flight lead,team leader / mission commander,aviation,aviation,,
AFLOAT,Shipboard / Maritime Operations,navy,operations,,
lane,area of responsibility / designated role,general,term,,
enabler,support resource / capability multiplier,general,term,,
CONOPS,concept of operations / operational plan,general,planning,,
mishap,workplace accident / safety incident,safety,safety,,
JCS,Joint Chiefs of Staff,general,acronym,,
POW,prisoner of war,general,acronym,,
CO,Commanding Officer / director / executive,general,acronym,,
FEDLOG,federal logistics data / government supply catalog,logistics,logistics,,
wellness check,employee welfare check / mental health screening,medical,medical,,
PT formation,mandatory fitness session,army,training,,
corpsman,combat medic / field medical technician,medical,medical,,
ground truth,verified information / confirmed data,general,term,,
slate,assignment recommendations / position matching list,personnel,personnel,,
dry hole,empty target / unsuccessful operation,general,special operations,,
ASI,additional skill identifier,army,admin,,
turn time,aircraft servicing interval / turnaround time,aviation,aviation,,
radio check,communications test / signal verification,communications,communications,,
courts martial,military trial / judicial proceeding,legal,legal,,
psychological operations,influence operations / strategic communications,general,special operations,,
contract modification,contract amendment / change order,logistics,acquisition,,
command,organization / business unit / department,general,term,,
SJA,Staff Judge Advocate / legal counsel,general,acronym,,
ready for issue,available for distribution / in serviceable condition,logistics,logistics,,
professional development,training / career growth,general,term,,
counseling statement,documented performance feedback,army,admin,,
reveille,wake up call / start of day,general,term,,
trial counsel,prosecutor / government attorney,legal,legal,,
space management,facility allocation / workspace planning,engineering,engineering,,
CDR (Commander),Senior Director / Division Head,navy,rank,,
SEJPME,senior enlisted joint professional education,general,training,,
ESWS,organizational qualification program,navy,training,,
environmental compliance,EPA/regulatory adherence,engineering,engineering,,
real property,government-owned buildings and land / physical assets,engineering,engineering,,
receipt,delivery acceptance / receiving confirmation,logistics,logistics,,
redistribution,reallocation / inventory redistribution,logistics,logistics,,
UST,underground storage tank management,engineering,engineering,,
LCpl (Lance Corporal),Staff Member,usmc,rank,,
PFC (Private First Class),Junior Staff Member,usmc,rank,,
YN,Yeoman / administrative specialist,general,acronym,,
SUPPO,supply officer / logistics director,navy,leadership,,
selection board,senior promotion panel / executive review committee,personnel,personnel,,
SgtMaj,sergeant major / senior enlisted leader,usmc,leadership,,
mass casualty,multiple-victim incident / mass injury event,medical,medical,,
wilco,will comply,general,communication,,
contracting officer,procurement manager / purchasing authority,logistics,acquisition,,
LOD,line of duty,general,acronym,,
ROM,restriction of movement,general,acronym,,
ISR,"intelligence, surveillance, and reconnaissance / monitoring and data collection",intelligence,intelligence,,
watch,shift / duty period,general,term,,
NOC,network operations center / IT monitoring facility,cyber,cyber,,
skipper,commanding officer / CEO / president,general,term,,
warfare,operational specialty,general,term,,
EOOW,Engineering Officer of the Watch / shift supervisor,general,acronym,,
cold start,engine start from powered-down state,aviation,aviation,,
promotion board,promotion review panel,army,admin,,
AFSOC,Air Force Special Operations Command,general,special operations,,
IATT,interim authority to test / temporary security authorization,cyber,cyber,,
prepositioned stock,forward-deployed inventory / pre-staged supplies,logistics,logistics,,
burn bag,classified material destruction container,intelligence,intelligence,,
JSOC,Joint Special Operations Command / tier-one operations authority,general,special operations,,
watch bill,shift schedule / duty roster,general,term,,
competency,skill / qualification,general,term,,
MCPON,Master Chief Petty Officer of the Navy,general,acronym,,
IED,improvised explosive device,general,acronym,,
dog watch,split shift / evening shift,general,term,,
khaki,supervisor / management,general,term,,
phase inspection,scheduled comprehensive maintenance,aviation,aviation,,
LIMDU,limited duty / restricted work assignment,medical,medical,,
ODB,operational detachment bravo / special forces B-team,general,special operations,,
NMCRS,Navy-Marine Corps Relief Society,general,acronym,,
strike,rate selection / career choice,general,term,,
MDEP,management decision package / budget line item,financial,financial,,
CAS,close air support / tactical air strike coordination,general,special operations,,
unserviceable,non-functional / requiring repair,logistics,logistics,,
EPR,annual performance evaluation,usaf,admin,,
task force,project team / special initiative group,general,term,,
general court martial,major judicial proceeding / felony-level military trial,legal,legal,,
PRT,physical fitness assessment,navy,training,,
FMC,fully mission capable / operational ready,general,acronym,,
MCPO,Master Chief / Senior Executive,navy,rank,,
AAR,after-action review / post-project analysis,general,acronym,,
PED,"processing, exploitation, and dissemination / data processing and distribution",intelligence,intelligence,,
crypto,encryption / security systems,general,equipment,,
DFAS,Defense Finance and Accounting Service,general,acronym,,
fitness report,performance evaluation / review,general,term,,
FYDP,future years defense program / long-range spending plan,financial,financial,,
turned over,transferred responsibilities,general,operations,,
CPT (Captain),Senior Manager,army,rank,,
LOE,readiness assessment,navy,technical,,
deconflict,resolve scheduling conflicts / coordinate,general,term,,
E&E,escape and evasion / emergency extraction,general,special operations,,
property book,official asset register / inventory of record,logistics,logistics,,
MILCON,military construction / government construction project,engineering,engineering,,
standby,wait / hold / pending further direction,general,term,,
cyber key terrain,critical digital infrastructure,cyber,cyber,,
board of inquiry,review panel / adjudication board,legal,legal,,
depot level maintenance,factory-level overhaul / major repair facility,aviation,aviation,,
Role 3,hospital-level care / definitive medical treatment,medical,medical,,
Article 15,formal disciplinary action,army,admin,,
EAS,End of Active Service / contract completion date,general,acronym,,
PHA,periodic health assessment / annual physical examination,medical,medical,,
ATG,Training and Readiness Organization,navy,organization,,
indoc,orientation / onboarding,general,term,,
float up,submit for review,navy,admin,,
white space,unscheduled time / available capacity,general,term,,
NLT,no later than / deadline,general,acronym,,
petty officer,supervisor / team lead,general,term,,
yeoman,administrative assistant / office manager,general,term,,
base year,initial contract period,logistics,acquisition,,
DFAC,dining facility,army,general,,
company,department of 100-200 employees,general,unit type,,
berthing,living quarters,navy,general,,
safety stand-down,safety awareness pause / mandatory safety training day,safety,safety,,
OPORD,operations order / project plan,general,acronym,,
IA,Individual Augmentee / temporary assignment,general,acronym,,
affirmative,yes / confirmed,general,communication,,
PAO,Public Affairs Officer / communications manager,general,acronym,,
enclave,isolated network segment,cyber,cyber,,
command deck,executive level / senior leadership,general,term,,
back brief,confirmation briefing / task acknowledgment,general,communication,,
IFF systems,identification systems,general,equipment,,
anchored,parked at remote location,navy,operations,,
MOC,Military Occupational Code,general,acronym,,
SAEDA,subversion and espionage directed against the Army / insider threat awareness,intelligence,intelligence,,
green deck,full operations authorized / all-clear status,aviation,aviation,,
active duty,full-time employment,general,term,,
striker,apprentice / trainee in specialty,navy,training,,
non-rated,unqualified / not yet certified,general,training,,
penetration testing,authorized security testing / ethical hacking,cyber,cyber,,
OCS,Officer Candidate School,general,acronym,,
peacetime,non-deployed / normal operations,general,term,,
net call,network roll call / communications check-in,communications,communications,,
cold iron,all systems shut down / fully powered off,aviation,aviation,,
CMSgt (Chief Master Sergeant),Director,usaf,rank,,
negative,no / denied,general,communication,,
opcon,operational control / day-to-day authority,general,term,,
OJT,on-the-job training,general,acronym,,
AWOL,absent without leave / unauthorized absence,general,acronym,,
below decks,internal/interior areas,navy,operations,,
crew rest,mandatory rest period / regulated downtime,aviation,aviation,,
SIGINT,signals intelligence / electronic communications analysis,intelligence,intelligence,,
COMPTUEX,Multi-Unit Training Exercise,navy,training,,
CMSgt,chief master sergeant / executive leader,usaf,leadership,,
downrange,in the field / at project site,general,term,,
classification authority,information security decision-maker,intelligence,intelligence,,
mission,objective / goal / project,general,term,,
administrative board,organizational review panel,personnel,personnel,,
EDIPI,Electronic Data Interchange Personal Identifier,general,acronym,,
AR 15-6,Army investigation regulation / formal inquiry procedure,legal,legal,,
APT,advanced persistent threat / sophisticated cyber adversary,cyber,cyber,,
CCT,combat controller / special operations air traffic controller,general,special operations,,
JO,Junior Manager,navy,rank,,
incentive fee,bonus for exceeding targets,logistics,acquisition,,
best value,optimal quality-to-cost evaluation,logistics,acquisition,,
MEDINT,medical intelligence / health threat analysis,intelligence,intelligence,,
bow,front,navy,general,,
compound,secure facility / target location,general,special operations,,
OMPF,official military personnel file / employee personnel record,personnel,personnel,,
belay,stop / cancel previous order,navy,operations,,
CSM,command sergeant major / senior enlisted leader,army,leadership,,
fusion center,multi-agency coordination center / integrated analysis center,intelligence,intelligence,,
wargame,scenario planning / simulation exercise,general,term,,
medical readiness,workforce health compliance / medical fitness status,medical,medical,,
DD214,separation document / discharge paperwork,general,acronym,,
mission capable,operationally ready / available for tasking,aviation,aviation,,
intermediate level maintenance,regional repair facility maintenance,aviation,aviation,,
WTI,Weapons and Tactics Instructor,general,acronym,,
FOB,forward operating base,army,operations,,
hot pit refueling,rapid refueling without engine shutdown,aviation,aviation,,
wingman,trusted partner / backup support person,general,term,,
DIACAP,DoD information assurance certification / legacy security certification,cyber,cyber,,
cockpit resource management,crew coordination / team communication in operations,aviation,aviation,,
trap,arrested landing / successful carrier landing,aviation,aviation,,
postflight,post-operation inspection / post-use assessment,aviation,aviation,,
short timer,employee near end of contract,general,term,,
footprint,organizational presence / resource usage,general,term,,
lead paint,lead-based paint remediation,safety,engineering,,
carry on,continue / resume normal operations,general,operations,,
bigot list,restricted access roster,intelligence,intelligence,,
log,record / documentation,general,term,,
TSTA,integrated training assessment,navy,technical,,
OPPE,operational readiness evaluation,navy,technical,,
page 13,administrative counseling record,navy,admin,,
CLIN,contract line item number / billable item identifier,logistics,acquisition,,
DTS claim,electronic travel voucher / online expense report,financial,financial,,
compartmentalized,need-to-know basis / restricted access,general,term,,
CSAR,combat search and rescue / hostile area personnel recovery,general,special operations,,
all-source analysis,comprehensive data analysis / multi-source research,intelligence,intelligence,,
CPARS,contractor performance assessment reporting system / vendor rating system,logistics,acquisition,,
accountability,asset/personnel tracking,general,admin,,
mentored,coached and developed,general,leadership,,
unit basic load,minimum required supplies / baseline inventory level,logistics,logistics,,
SR (Seaman Recruit),Entry-Level Staff,navy,rank,,
period of performance,contract duration / project timeline,logistics,acquisition,,
per diem,daily expense allowance / travel reimbursement rate,financial,financial,,
JOs,Junior Managers,navy,rank,,
field,field operations / off-site deployment,army,operations,,
excess,surplus inventory / overstocked items,logistics,logistics,,
expenditure,actual spending / disbursement,financial,financial,,
CSS,combat service support / operational support,general,acronym,,
mission critical,essential / high priority,general,term,,
durable,reusable / long-lasting equipment,logistics,logistics,,
fantail,rear exterior area,navy,general,,
SIPRNET,classified network / secure government network,cyber,cyber,,
POD,Plan of the Day / daily schedule,general,acronym,,
special court martial,intermediate judicial proceeding,legal,legal,,
LOC,letter of counseling / formal verbal warning documentation,personnel,personnel,,
quarterdeck,main entrance / reception area,navy,general,,
PLL,prescribed load list / required parts inventory,logistics,logistics,,
GySgt,gunnery sergeant / department lead,usmc,leadership,,
drawdown,reduction in force / scaling back,general,term,,
chapter,administrative separation / termination,army,admin,,
CDI,command directed investigation / internal investigation,legal,legal,,
FEP,final readiness evaluation,navy,technical,,
TIS,Time in Service / tenure,general,acronym,,
analyst,intelligence analyst / research analyst,intelligence,intelligence,,
aid station,field medical clinic / first-response medical facility,medical,medical,,
obligation,committed funds / encumbered budget,financial,financial,,
command investigation,organizational inquiry / management-directed review,legal,legal,,
economic order quantity,optimal purchase quantity,logistics,logistics,,
supply chain,supply chain,general,logistics,,
company commander,operations director,army,leadership,,
red deck,operations suspended due to weather/safety,aviation,aviation,,
sole source,single-vendor procurement / non-competitive award,logistics,acquisition,,
cost plus,cost-reimbursement contract / variable-cost agreement,logistics,acquisition,,
SRM,"sustainment, restoration, and modernization / facility maintenance and upgrade",engineering,engineering,,
green team,support team / training team,general,term,,
GEOINT,geospatial intelligence / geographic data analysis,intelligence,intelligence,,
OPTAR,operating budget,navy,logistics,Managed $2.5M OPTAR,Managed $2.5M annual operating budget
utilities,"building systems (power, water, HVAC)",engineering,engineering,,
flight surgeon,aviation medical examiner / aerospace physician,medical,medical,,
boundary defense,network perimeter protection,cyber,cyber,,
JWICS,top secret network / highest classification network,cyber,cyber,,
service order,facility support request,engineering,engineering,,
brig,military prison / detention facility,legal,legal,,
immunization,vaccination / preventive medicine,medical,medical,,
midships,center section,navy,general,,
NAV,navigator / operations planner,navy,leadership,,
pocket litter,supporting documentation for cover identity,intelligence,intelligence,,
direct action,targeted operation / precision strike mission,general,special operations,,
wing,"organization of 1,000-5,000 employees",general,unit type,,
chopped to,transferred authority to,navy,operations,,
handler,source manager / relationship coordinator,intelligence,intelligence,,
DODIN,Department of Defense information network / enterprise network,cyber,cyber,,
EAWS,aviation qualification program,navy,training,,
network defense,cybersecurity operations / network protection,cyber,cyber,,
ROI,return on investment,general,financial,,
garnishment,court-ordered payroll deduction,financial,financial,,
PKI,public key infrastructure / digital certificate management,cyber,cyber,,
MCA,"military construction, Army / capital construction project",engineering,engineering,,
evolution,operation,navy,operations,Led 15 evolutions,Led 15 operational procedures
watch station,duty station,navy,operations,,
JISE,joint intelligence support element / integrated analysis team,intelligence,intelligence,,
flight hours,operating hours / airtime logged,aviation,aviation,,
mission assurance,continuity of operations / business continuity,cyber,cyber,,
manning document,staffing table / organizational chart,personnel,personnel,,
tasker,assignment / action item / work request,general,term,,
exploitation,data extraction and analysis,intelligence,intelligence,,
fleet surgeon,senior medical officer / chief medical advisor,medical,medical,,
TAD/TDY assignment,temporary assignment / detail,general,admin,,
CBR,hazardous material response,navy,technical,,
legal hold,litigation preservation / document retention order,legal,legal,,
bridge,operations command center,navy,operations,,
counseling chit,counseling documentation / performance feedback form,personnel,personnel,,
triage,patient prioritization / emergency severity assessment,medical,medical,,
backbrief,summary briefing / confirmation briefing,general,term,,
pivot,change direction / shift focus,general,term,,
DLCPO,Division Senior Supervisor,navy,leadership,,
jackpot,successful target capture / mission success,general,special operations,,
corrosion control,preventive surface treatment / anti-corrosion maintenance,aviation,aviation,,
synch,synchronize / coordinate timing,general,term,,
patient administration,medical records management / healthcare administration,medical,medical,,
field day,deep cleaning / facility maintenance,navy,operations,,
administrative separation,involuntary termination / employment separation,legal,legal,,
clandestine,covert / secret,intelligence,intelligence,,
battalion,business unit of 300-1000 employees,general,unit type,,
proposal evaluation,bid assessment / vendor proposal review,logistics,acquisition,,
MTF,military treatment facility / government healthcare facility,medical,medical,,
OPR,officer performance evaluation,usaf,admin,,
special reconnaissance,covert observation / clandestine surveillance,general,special operations,,
stay in your lane,focus on your responsibilities / stay within scope,general,term,,
pretrial,pre-hearing phase / preliminary proceedings,legal,legal,,
BPA,blanket purchase agreement / pre-approved vendor arrangement,logistics,acquisition,,
AOIC,assistant department head,general,leadership,,
stern,rear,navy,general,,
preflight,pre-departure inspection / equipment readiness check,aviation,aviation,,
PJ,pararescue jumper / combat search and rescue specialist,general,special operations,,
USACE,U.S. Army Corps of Engineers / federal engineering agency,engineering,engineering,,
75th Ranger,Army elite light infantry regiment,general,special operations,,
line shack,maintenance coordination office,aviation,aviation,,
ODA,operational detachment alpha / special forces A-team,general,special operations,,
motor pool,vehicle fleet maintenance facility,army,technical,,
CBRN,hazardous material response,general,technical,,
working party,work detail / project team,navy,operations,,
asbestos abatement,asbestos removal and containment,safety,engineering,,
cyber range,cybersecurity training environment,cyber,cyber,,
flight line,aircraft parking and operations area / active work area,aviation,aviation,,
posture,strategic position / readiness stance,general,term,,
unfunded requirement,budget shortfall / unbudgeted need,financial,financial,,
dissemination,information distribution / report distribution,intelligence,intelligence,,
NATOPS,naval air training and operating procedures / aircraft operating manual,aviation,aviation,,
vertical construction,building construction,engineering,engineering,,
subordinate,direct report / team member,general,term,,
STIGs,security technical implementation guides / security configuration standards,cyber,cyber,,
MAF,maintenance action form / work order,aviation,aviation,,
KIA,killed in action,general,acronym,,
phase line,project milestone / progress marker,general,term,,
read-in,security briefing and access authorization,intelligence,intelligence,,
hostile fire pay,hazard duty pay / danger zone compensation,financial,financial,,
demolition,controlled structure removal / explosive demolition,engineering,engineering,,
authorized strength,approved headcount / budgeted positions,personnel,personnel,,
LPTA,lowest price technically acceptable / cost-based selection,logistics,acquisition,,
malware analysis,malicious software investigation,cyber,cyber,,
imminent danger pay,threat area compensation,financial,financial,,
IOC,initial operating capability / minimum viable deployment,cyber,cyber,,
field sanitation,environmental health / hygiene management,medical,medical,,
DCPO,safety compliance officer,navy,technical,,
MPA,main propulsion assistant / propulsion engineer,navy,leadership,,
HAZWOPER,hazardous waste operations and emergency response certification,safety,engineering,,
S-1,HR / Personnel Office,unit staff section handling personnel actions and ,administration,Worked with S-1 to process awards and PCS paperwork.,Partnered with HR to process personnel actions and documentation.
S-2,Intelligence Office,unit staff section responsible for threat analysis,intelligence,Coordinated with S-2 for daily threat briefs.,Coordinated with intelligence staff for daily threat updates and briefings.
S-3,Operations Office,unit staff section responsible for operations plan,operations,Submitted training plan updates to S-3.,Provided operations team updates to support scheduling and execution tracking.
S-4,Logistics Office,"unit staff section responsible for supply, transpo",logistics,Worked with S-4 to requisition parts.,Coordinated with logistics to requisition parts and track fulfillment.
S-6,IT / Communications Office,"unit staff section responsible for communications,",cyber,Coordinated with S-6 to troubleshoot network outages.,Worked with IT to troubleshoot outages and restore service.
BDE S1,Brigade HR Office,brigade-level hr section handling personnel action,administration,Sent the packet to BDE S1 for processing.,Submitted the packet to the brigade HR office for processing.
BDE S4,Brigade Logistics Office,brigade-level logistics section coordinating susta,logistics,BDE S4 pushed the distribution plan.,Brigade logistics issued the distribution plan for execution.
COMSEC custodian,Communications Security Custodian,role responsible for safeguarding encryption/keyin,cyber,Served as COMSEC custodian for the battalion.,Managed communications security materials and compliance for the organization.
IAO,Cybersecurity Compliance Lead,role responsible for information assurance control,cyber,Acted as the unit IAO during inspections.,Led cybersecurity compliance documentation and audit readiness for inspections.
G-6,Enterprise IT Directorate,senior-level communications/it directorate oversee,cyber,Coordinated with G-6 for network approvals.,Coordinated with enterprise IT leadership for network approvals and governance.
J-6,Joint IT Directorate,joint-level communications/it directorate coordina,cyber,Reported status to J-6 during the exercise.,Provided status updates to joint IT leadership during the exercise.
BDE S2,Brigade-level intelligence office,used for intelligence reporting/briefing support.,intelligence,Submitted reports to BDE S2,Submitted reports to the brigade intelligence office
BDE S3,Brigade-level operations office,"used for training schedules, ops planning, tasking",operations,Synced training calendar with BDE S3,Aligned training schedule with the operations office
BN S6,Battalion communications/IT office,shorthand for unit it/comms section.,cyber,Worked with BN S6 to restore SIPR,Partnered with the unit IT team to restore secure network services
S6 shop,Unit IT/communications team,informal way people refer to the comms/it section.,cyber,Submitted ticket to the S6 shop,Submitted a service request to the IT support team
G6,Senior-level communications/IT office (division/corps),staff section responsible for communications and i,cyber,Coordinated outage response with G6,Coordinated outage response with enterprise IT leadership
J6,Joint communications/IT office,joint staff section responsible for communications,cyber,Coordinated requirements with J6,Coordinated requirements with joint IT leadership
cutter,operational ship / vessel,coast guard term for ships; shows up in bullets.,operations,Supported cutter maintenance availability,Supported vessel maintenance availability
boat crew,small boat operations team,coast guard small boat ops term.,operations,Qualified as boat crew,Qualified as small boat operations team member
boarding team,maritime law enforcement team,common coast guard/me term.,security,Led boarding team brief,Led law enforcement inspection team brief
AtoN,Aids to Navigation,coast guard buoy/marker/navigation support mission,operations,Supported AtoN mission planning,Supported navigation aids mission planning
EOW,Engineering shift supervisor,watchstanding shorthand for supervising technical ,operations,Stood EOW during high-tempo operations.,Supervised shift operations ensuring continuity.
EDPO,Maintenance program manager,"indicates ownership of maintenance planning, track",leadership,Managed EDPO for department.,Managed maintenance program planning and readiness reporting.
ER09,Urgent corrective maintenance event,shorthand for engineering casualty/repair event re,maintenance,Responded to ER09 casualty.,Led urgent corrective maintenance to restore availability.
ERUL,Urgent logistics/repair support,shorthand for expedited parts/repair coordination ,maintenance,Submitted ERUL for critical part.,Coordinated urgent logistics to restore operations.
S-6 shop,IT/communications office,common shorthand for unit communications/it sectio,cyber,Worked in the S-6 shop.,Supported IT/communications operations restoring network services.
