acronym,full_term,civilian_explanation,branch,category
J6,joint communications,joint communications,army,acronym
JAG,legal affairs,legal affairs,general,acronym
JCN,Job Control Number,Work order number,navy,technical
JDAM,Joint Direct Attack Munition,GPS-guided precision weapon,general,aviation
JIOC,Joint Intelligence Operations Center,Multi-service intel operations facility,general,intelligence
JISE,Joint Intelligence Support Element,Multi-service intel analysis team,general,intelligence
JOC,Job Order Contract,Quick-turnaround construction contract,general,engineering
JOOD,Junior Officer of the Deck,Assistant operations shift supervisor,navy,operations
JOPES,Joint Operation Planning and Execution System,enterprise operations planning system,general,operations
JPAS,Joint Personnel Adjudication System,Security clearance tracking database,general,intelligence
JPME,Joint Professional Military Education,Joint operations education,general,training
JRSOI,Joint Reception Staging Onward Movement and Integration,arrival processing and integration operations,general,operations
JRSS,Joint Regional Security Stack,Regional network security platform,general,cyber
JRTC,Joint Readiness Training Center,Joint Readiness Training Center,army,training
JSM,Joint Service Medal,Multi-service assignment recognition,general,admin
JSpOC,Joint Space Operations Center,Joint Space Operations Center,ussf,acronym
JSS,joint security station,joint security station,army,security
JSTARS,Joint Surveillance Target Attack Radar System,airborne surveillance and targeting platform,general,intel
JTAGS,Joint Tactical Ground Station,Transportable missile warning station,general,space
JTF,joint task force,joint task force,general,acronym
JWAC,Joint Warfare Analysis Center,Military targeting and analysis center,general,intelligence
JWICS,Joint Worldwide Intelligence Communications System,top-secret network,general,cyber
KIA,killed in action,killed in action,general,acronym
LAD,Latest Arrival Date,Final acceptable delivery date,general,logistics
ladder well,stairwell,stairwell,general,facility
LANTFLT,Atlantic Fleet,Atlantic region naval forces,navy,organization
LCE,logistics combat element,logistics combat element,usmc,acronym
LCPO,senior team lead,senior team lead,navy,rank
LES,Leave and Earnings Statement,Pay stub / earnings statement,general,admin
LFX,live fire exercise,live fire exercise,army,acronym
liberty,time off,time off,general,acronym
LMET,Leadership and Management Education and Training,Leadership development course,navy,training
LOA,letter of admonishment,letter of admonishment,general,acronym
LOC,letter of counseling,letter of counseling,general,acronym
LOD,Line of Duty,Work-related injury/illness determination,general,medical
LOE,Line of Effort,Strategic objective focus area,general,planning
LOE,Light-Off Examination,Propulsion system readiness test,navy,compliance
LOGCAP,Logistics Civil Augmentation Program,Contracted logistics support program,army,logistics
LOGPAC,Logistics Package,Supply delivery bundle,army,logistics
LOGSTAT,Logistics Status Report,supply and logistics status report,general,logistics
LOO,Line of Operation,Operational focus area,general,planning
LOR,letter of reprimand,letter of reprimand,general,acronym
LPO,team lead,team lead,navy,rank
LRS,logistics readiness squadron,logistics readiness squadron,usaf,acronym
LS,logistics specialist,logistics specialist,navy,rating
LSO,Landing Signal Officer,aircraft landing safety supervisor,navy,aviation
LZ,Landing Zone,Helicopter landing area,general,operations
MA,master-at-arms,master-at-arms,navy,rating
MACC,Multiple Award Construction Contract,Pre-competed construction contract vehicle,general,engineering
MACOM,Major Command,Major Army headquarters,army,organization
MAGTF,Marine Air-Ground Task Force,Marine Air-Ground Task Force,usmc,acronym
maintenance lags,maintenance delays,maintenance delays,general,acronym
MAJCOM,Major Command,Major Air Force headquarters,usaf,organization
MALS,Marine Aviation Logistics Squadron,Marine Aviation Logistics Squadron,usmc,acronym
MARADMIN,Marine administrative message,Marine administrative message,usmc,acronym
MARCENT,Marine Forces Central Command,Marine Forces Central Command,usmc,organization
MARDIV,Marine Division,Marine Division,usmc,acronym
MARFORCOM,Marine Forces Command,Marine Forces Command,usmc,organization
MARFORCYBER,Marine Forces Cyberspace Command,Marine Corps cyber operations,usmc,cyber
MARFORPAC,Marine Forces Pacific,Marine Forces Pacific,usmc,acronym
Marine,team member,team member,general,acronym
marines,personnel,personnel,general,acronym
MASINT,Measurement and Signature Intelligence,technical measurement and analysis,general,intel
material readiness,equipment readiness,equipment readiness,general,acronym
materiel,supplies and equipment,supplies and equipment,general,acronym
MAW,Marine Aircraft Wing,Marine Aircraft Wing,usmc,acronym
MC,Mission Capable,aircraft available for operations,general,aviation
MCAS,Marine Corps Air Station,Marine Corps Air Station,usmc,acronym
MCB,Marine Corps Base,Marine Corps Base,usmc,acronym
MCCDC,Combat Development Command,Combat Development Command,usmc,organization
MCIA,Marine Corps Intelligence Activity,Marine Corps intelligence center,usmc,intelligence
MCLB,Marine Corps Logistics Base,Marine Corps Logistics Base,usmc,acronym
MCMAP,martial arts program,martial arts program,usmc,acronym
MCPON,Master Chief Petty Officer of the Navy,Senior enlisted Navy advisor,navy,organization
MCRD,Marine Corps Recruit Depot,Marine Corps Recruit Depot,usmc,acronym
MCSC,Marine Corps Systems Command,Marine Corps Systems Command,usmc,organization
MCTFS,Marine Corps Total Force System,Marine Corps personnel database,usmc,admin
MCWL,Marine Corps Warfighting Lab,Marine Corps Warfighting Lab,usmc,acronym
MCX,retail store,retail store,general,facility
MDG,medical group,medical group,usaf,acronym
MDMP,Military Decision Making Process,Structured decision-making framework,army,planning
MDR,Managed Detection and Response,Outsourced security monitoring service,general,cyber
MEB,Medical Evaluation Board,Medical fitness-for-duty review,general,medical
MEB,Marine Expeditionary Brigade,Marine Expeditionary Brigade,usmc,acronym
MECEP,enlisted commissioning program,enlisted commissioning program,usmc,acronym
MEDCOM,Medical Command,Medical Command,army,organization
MEDEVAC,Medical Evacuation,Medical transport by helicopter,general,operations
MEDEX,Media Exploitation,Digital media forensic analysis,general,intelligence
MEDPROS,Medical Protection System,Medical readiness tracking,army,technical
MEDPROS,Medical Protection System,medical readiness tracking system,general,medical
MEF,Marine Expeditionary Force,Major Marine Corps operational force,usmc,organization
MEO,military equal opportunity,military equal opportunity,general,acronym
MEPS,Military Entrance Processing Station,Military recruitment medical screening facility,general,medical
mess deck,dining facility,dining facility,general,facility
METL,Mission Essential Task List,Core competency requirements,general,compliance
METT-TC,Mission Enemy Terrain Troops Time Civilians,operational planning factors,army,operations
MEU,Marine Expeditionary Unit,Marine Expeditionary Unit,usmc,acronym
MFP,Major Force Program,Major budget category,general,financial
MHE,Material Handling Equipment,Forklifts and cargo moving equipment,general,logistics
MHS,Military Health System,DoD healthcare system,general,medical
MIA,missing in action,missing in action,general,acronym
MICT,management internal control toolset,management internal control toolset,usaf,acronym
MILCON,Military Construction,capital construction budget,general,financial
MILPDS,Military Personnel Data System,Air Force personnel database,usaf,admin
MILVAN,Military Van,Military-standard shipping container,general,logistics
MISLE,marine information system,marine information system,uscg,system
MLC,Master Leader Course,executive management development course,army,training
MLE,maritime law enforcement,maritime law enforcement,uscg,acronym
MLG,Marine Logistics Group,Marine Logistics Group,usmc,acronym
MM,machinist's mate,machinist's mate,navy,rating
MOB,Man Overboard,Personnel recovery emergency,navy,operations
MODS,Medical Operational Data System,Navy medical readiness tracker,navy,medical
MOL,Marine Online portal,Marine Online portal,general,acronym
MOL,Marine Online,Marine Corps self-service portal,usmc,admin
MOPP,Mission Oriented Protective Posture,HAZMAT/CBRN protection level,general,operations
MOS,military occupational specialty,military occupational specialty,general,acronym
MPA,main propulsion assistant,main propulsion assistant,navy,acronym
MPF,Military Personnel Flight,Air Force HR office,usaf,admin
MRC,Maintenance Requirement Card,Maintenance work instruction,navy,technical
MSC,Military Sealift Command,Navy cargo shipping organization,navy,logistics
MSG,mission support group,mission support group,usaf,acronym
MSGT,master sergeant,master sergeant,usaf,rank
MSIC,Missile and Space Intelligence Center,Missile threat analysis center,army,intelligence
MSR,main supply route,main supply route,army,acronym
MSR,Main Supply Route,Primary logistics corridor,general,logistics
MSRT,maritime security response team,maritime security response team,uscg,security
MSST,maritime security team,maritime security team,uscg,security
MTF,Medical Treatment Facility,healthcare facility,general,medical
MTOE,personnel and equipment authorization,personnel and equipment authorization,army,acronym
MUOS,Mobile User Objective System,Next-gen narrowband military satellite,general,space
muster,accountability check,accountability check,general,acronym
MWR,"morale, welfare and recreation","morale, welfare and recreation",general,acronym
MX,maintenance,maintenance,usaf,acronym
MXG,maintenance group,maintenance group,usaf,acronym
MXS,maintenance squadron,maintenance squadron,usaf,acronym
NAF,numbered air force,numbered air force,usaf,acronym
NAI,Named Area of Interest,Geographic area designated for surveillance,general,intelligence
NALCOMIS,Naval Aviation Logistics Command Management Information System,Aviation maintenance management system,navy,technical
NAS,naval air station,naval air station,navy,acronym
NASIC,National Air and Space Intelligence Center,Air/space threat analysis center,usaf,intelligence
NATOPS,Naval Air Training and Operating Procedures Standardization,aviation standardization and safety procedures,navy,aviation
NAV,navigator,navigator,navy,acronym
NAVAIR,Naval Air Systems Command,Navy aviation systems command,navy,organization
NAVFIT,performance evaluation system,performance evaluation system,navy,system
NAVLEAD,Navy Leadership Development,Leadership course,navy,training
NAVSEA,Naval Sea Systems Command,Navy shipbuilding and maintenance command,navy,organization
NAVSTA,naval station,naval station,navy,acronym
NAVSUP,supply command,supply command,navy,organization
NAVWAR,naval information warfare systems,naval information warfare systems,navy,system
NC,career counselor,career counselor,navy,acronym
NCIS,Naval Criminal Investigative Service,Navy/Marine Corps law enforcement and CI agency,navy,intelligence
NCO,non-commissioned officer,non-commissioned officer,army,rank
NCOA,NCO Academy,NCO Academy,usaf,acronym
NCOER,performance evaluation,performance evaluation,army,acronym
NCOIC,non-commissioned officer in charge,non-commissioned officer in charge,army,rank
NCTC,National Counterterrorism Center,Counterterrorism analysis and planning center,general,intelligence
NDSM,National Defense Service Medal,Medal for service during conflict period,general,admin
NDU,National Defense University,Senior military/civilian joint education,general,training
NEC,specialty code,specialty code,general,acronym
NEL,Navy e-Learning,Navy e-Learning,navy,acronym
NEPA,National Environmental Policy Act,Environmental impact review law,general,engineering
NETC,Naval Education and Training Command,Navy training organization,navy,organization
NEX,retail store,retail store,general,facility
NFAAS,Navy Family Accountability and Assessment System,Personnel accountability system,navy,technical
NGA,National Geospatial-Intelligence Agency,Satellite and geographic analysis agency,general,intelligence
NGIC,National Ground Intelligence Center,Army ground threat analysis center,army,intelligence
NIOC,Navy Information Operations Command,Navy cyber and intel operations,navy,intelligence
NIPR,Non-classified Internet Protocol Router,unclassified network,general,cyber
NIST,National Institute of Standards and Technology,Federal technology standards body,general,technical
NJP,Non-Judicial Punishment,Administrative disciplinary action,general,admin
NKO,online training system,online training system,navy,system
NMC,Non-Mission Capable,equipment out of service,general,logistics
NMCI,Navy Marine Corps Intranet,Enterprise network infrastructure,navy,technical
NMCM,Non-Mission Capable Maintenance,out of service due to maintenance,general,logistics
NMCP,Naval Medical Center Portsmouth,Navy hospital,navy,medical
NMCS,Non-Mission Capable Supply,out of service due to parts shortage,general,logistics
NMEC,National Media Exploitation Center,Captured materials analysis center,general,intelligence
NMP,Navy Manning Plan,Navy staffing document,navy,training
NOFORN,not releasable to foreign nationals,not releasable to foreign nationals,general,acronym
NORTHCOM,Northern Command,Northern Command,general,organization
NPC,Navy Personnel Command,Navy HR operations,navy,admin
NRO,National Reconnaissance Office,Satellite intelligence agency,general,intelligence
NSA,National Security Agency,Signals intelligence and cybersecurity agency,general,intelligence
NSA,naval support activity,naval support activity,navy,acronym
NSDC,National Space Defense Center,Space threat monitoring facility,general,space
NSG,Naval Security Group,Navy signals intelligence unit,navy,intelligence
NSIPS,personnel management system,personnel management system,general,system
NSIPS,Navy Standard Integrated Personnel System,Navy HR database,navy,admin
NSpC,National Space Council,White House space policy coordination,general,space
NSTC,Naval Service Training Command,Navy recruit and officer training,navy,training
NTC,National Training Center,National Training Center,army,training
NVG,Night Vision Goggles,Low-light vision enhancement device,general,aviation
NWC,Naval War College,Senior officer strategic school,navy,training
OAAS,officer and enlisted performance,officer and enlisted performance,uscg,acronym
OAR,officer assignment record,officer assignment record,uscg,acronym
OCO,Offensive Cyber Operations,penetration testing and red team operations,general,cyber
OCONUS,overseas,overseas,general,acronym
OCS,Officer Candidate School,Officer commissioning program,general,training
OCX,GPS Next Generation Operational Control System,GPS ground control upgrade,general,space
ODNI,Office of the Director of National Intelligence,IC coordination and oversight office,general,intelligence
OER,officer performance evaluation,officer performance evaluation,army,acronym
OG,operations group,operations group,usaf,acronym
OIC,officer in charge,officer in charge,army,rank
OICC,Officer in Charge of Construction,Senior construction oversight officer,navy,engineering
OJT,on-the-job training,on-the-job training,general,training
OMA,Operation and Maintenance Army,Army operating budget,army,financial
OMMS-NG,Organizational Maintenance Management System-Next Generation,Maintenance management software,navy,technical
OMN,Operation and Maintenance Navy,Navy operating budget,navy,financial
OMPF,official personnel file,official personnel file,general,acronym
ONI,Office of Naval Intelligence,Navy intelligence headquarters,navy,intelligence
OOD,Officer of the Deck,Ship operations shift supervisor,navy,operations
op tempo,operational pace,operational pace,general,acronym
OPCON,Operational Control,Full operational authority,general,operations
OPFOR,opposing force,opposing force,army,acronym
OPIR,Overhead Persistent Infrared,Satellite missile detection system,general,space
OPLAN,Operations Plan,comprehensive operations plan,general,operations
OPNAV,headquarters staff,headquarters staff,navy,facility
OPORD,Operations Order,Operational execution plan,general,communication
OPPE,Operational Propulsion Plant Examination,Engineering readiness assessment,navy,compliance
OPR,officer performance report,officer performance report,usaf,acronym
OPREP,operational report,operational report,navy,acronym
OPS,operations,operations,navy,acronym
OPSEC,operations security,operations security,general,security
OPSUM,Operations Summary,operational activity summary,general,operations
ORB,Officer Record Brief,Officer personnel summary,army,admin
ordnance,weapons/ammunition,weapons/ammunition,general,acronym
ORE,Operational Readiness Examination,Readiness evaluation,general,compliance
ORI,Operational Readiness Inspection,Formal readiness inspection,usaf,compliance
ORM,operational risk management,operational risk management,general,acronym
OS,operations specialist,operations specialist,navy,rating
OSA,Overseas Service Award,Recognition for overseas assignment,general,admin
OSINT,Open Source Intelligence,Publicly available information analysis,general,operations
OSS,operations support squadron,operations support squadron,usaf,acronym
OTS,Officer Training School,Air Force commissioning program,usaf,training
overhead,ceiling,ceiling,general,facility
PACAF,Pacific Air Forces,Pacific Air Forces,usaf,acronym
PACFLT,Pacific Fleet,Pacific region naval forces,navy,organization
PACOM,Pacific Command,Pacific Command,general,organization
PAFSC,primary specialty code,primary specialty code,usaf,acronym
PAO,public affairs,public affairs,general,acronym
passageway,hallway,hallway,general,facility
PATFORSWA,patrol forces Southwest Asia,patrol forces Southwest Asia,uscg,acronym
PB,patrol base,patrol base,army,acronym
PBAC,Program and Budget Advisory Committee,Budget review committee,general,financial
PBD,Program Budget Decision,Senior budget allocation decision,general,financial
PBO,property book officer,property book officer,army,acronym
PBUSE,property management system,property management system,army,system
PCC,Pre-Command Course,Commander preparation training,general,training
PCS,Permanent Change of Station,Organizational relocation/transfer,general,admin
PDHA,Post-Deployment Health Assessment,Return-from-deployment medical screening,general,medical
PDHRA,Post-Deployment Health Reassessment,Follow-up deployment health check,general,medical
PEB,Physical Evaluation Board,Disability rating determination panel,general,medical
PEC,Program Element Code,Budget tracking identifier,general,financial
PEO,program executive office,program executive office,navy,acronym
PERSEC,personnel security,personnel security,general,security
PERSTAT,Personnel Status Report,headcount and personnel status report,general,admin
PFC,private first class,private first class,army,rank
PFT,physical fitness test,physical fitness test,usmc,training
PIR,Priority Intelligence Requirements,Intelligence collection priorities,general,planning
PKI,Public Key Infrastructure,digital certificate management system,general,cyber
PLANORD,Planning Order,planning directive,general,operations
PLT,platoon,platoon,army,acronym
PMC,Partially Mission Capable,equipment operating with reduced capability,general,logistics
PMCS,preventive maintenance checks,preventive maintenance checks,army,acronym
PME,professional military education,professional military education,general,acronym
PMO,provost marshal office,provost marshal office,usmc,acronym
PMS,preventive maintenance,preventive maintenance,navy,acronym
POAM,Plan of Action and Milestones,Security remediation plan,general,cyber
POC,Point of Contact,Primary contact person,general,communication
POD,Port of Debarkation,Arrival port,general,logistics
POE,Port of Embarkation,Departure port,general,logistics
POM,Program Objective Memorandum,multi-year budget planning document,general,financial
port and starboard,rotating shift schedule,rotating shift schedule,general,acronym
POW,prisoner of war,prisoner of war,general,acronym
PPBE,"Planning, Programming, Budgeting, and Execution",DoD budget lifecycle process,general,financial
PPE,personal protective equipment,personal protective equipment,general,acronym
PPO,Personnel Processing Office,In/out-processing office,general,admin
PPWO,Propulsion Plant Watch Officer,"Led propulsion plant operations, coordinating personnel and equipment to maintain compliance and availability.",navy,maintenance
PQS,personnel qualification standards,personnel qualification standards,navy,acronym
PRD,planned rotation date,planned rotation date,general,acronym
PRDA,Personnel Records Display Application,Air Force digital personnel file,usaf,admin
PRIME BEEF,Prime Base Engineer Emergency Force,base engineering emergency response team,usaf,engineering
PROFIS,Professional Officer Filler Information System,Medical officer deployment assignment system,army,medical
PRT,Physical Readiness Test,Physical fitness assessment,navy,training
PS,personnel specialist,personnel specialist,navy,rating
PSD,Personnel Support Detachment,HR service center,navy,admin
PSG,platoon sergeant,platoon sergeant,army,rank
PSR,Personnel Status Report,Manning/staffing report,general,admin
PSU,port security unit,port security unit,uscg,security
PT,Physical Training,Physical fitness program,general,training
PV2,private,private,army,rank
PVT,private,private,army,rank
PWD,Public Works Department,Base facilities management office,navy,engineering
PX,retail store,retail store,general,facility
PZ,Pickup Zone,Personnel/cargo collection point,general,aviation
QA,quality assurance,quality assurance,army,acronym
QAE,Quality Assurance Evaluator,Construction quality inspector,general,engineering
QC,quality control,quality control,army,acronym
QM,quartermaster,quartermaster,navy,rating
QRF,Quick Reaction Force,Rapid response team,general,operations
quarterdeck,reception area,reception area,general,facility
rack,bed,bed,general,acronym
RAPIDS,Real-time Automated Personnel Identification System,Military ID card system,general,admin
RAS,replenishment at sea,replenishment at sea,navy,acronym
RDD,Required Delivery Date,Shipment deadline,general,logistics
readiness,operational preparedness,operational preparedness,general,acronym
RED HORSE,Rapid Engineer Deployable Heavy Operational Repair Squadron Engineers,rapid construction and repair unit,usaf,engineering
reveille,morning wake-up,morning wake-up,general,acronym
RFI,Request for Information,Information request,general,communication
RFP,Request for Proposal,Solicitation for contractor bids,general,engineering
RMF,Risk Management Framework,Cybersecurity compliance framework,general,technical
RO,Reactor Operator,Monitored and controlled reactor systems to maintain safe operating parameters.,navy,maintenance
ROC drill,Rehearsal of Concept drill,operational concept rehearsal,general,operations
ROE,Rules of Engagement,Operational conduct guidelines,general,operations
ROICC,Resident Officer in Charge of Construction,Government construction manager,navy,engineering
ROTC,Reserve Officers Training Corps,College officer program,general,training
RTB,Return to Base,Return to home location,general,operations
S-1,Personnel/Administration Section,HR department,army,admin
S-2,Intelligence Section,Intelligence department,army,admin
S-3,Operations Section,Operations department,army,admin
S-4,Logistics Section,Logistics/supply department,army,admin
S-6,Communications/IT Section,IT department,army,admin
S1,human resources/personnel,human resources/personnel,army,acronym
S2,intelligence/security,intelligence/security,army,security
S3,operations/training,operations/training,army,training
S4,logistics/supply,logistics/supply,army,acronym
S6,communications/IT,communications/IT,army,acronym
S6 SHOP,Communications/IT Section,"In-house IT/communications team responsible for network support, troubleshooting, and service restoration.",army,staff_section
SABRS,"Standard Accounting, Budgeting, and Reporting System",Marine Corps accounting system,usmc,financial
SAEDA,Subversion and Espionage Directed Against the Army,Insider threat reporting program,army,intelligence
SAG,Sub-Activity Group,Detailed budget grouping,general,financial
Sailors,personnel,personnel,general,acronym
SALUTE,threat report format,threat report format,general,acronym
SAP,special access program,special access program,general,acronym
SAPR,sexual assault prevention,sexual assault prevention,general,acronym
SAR,Search and Rescue,Coordinated time-critical emergency response operations to safeguard personnel and property.,uscg,operations
SAR,search and rescue,search and rescue,uscg,acronym
SARC,sexual assault response coordinator,sexual assault response coordinator,navy,acronym
SAROPS,search and rescue planning system,search and rescue planning system,uscg,system
SARSS,Standard Army Retail Supply System,retail supply management system,army,logistics
SAV,staff assistance visit,staff assistance visit,usaf,acronym
SBCT,Stryker brigade combat team,Stryker brigade combat team,army,acronym
SBIRS,Space-Based Infrared System,Missile warning satellite constellation,general,space
SCA,Security Control Assessor,Independent security auditor,general,cyber
SCI,sensitive compartmented information,sensitive compartmented information,general,acronym
SCLSIS,Ships Configuration and Logistics Support Information System,Configuration management system,navy,technical
SCM,summary court-martial,summary court-martial,general,acronym
SCO,security control officer,security control officer,general,security
scuttlebutt,water fountain,water fountain,general,acronym
SDA,Space Development Agency,Space technology development organization,ussf,space
SDDC,Surface Deployment and Distribution Command,Military land/sea shipping command,army,logistics
SEAVAN,Sea Van,Ocean shipping container,general,logistics
SECDEF,Secretary of Defense,Civilian leader of Department of Defense,general,organization
SECNAV,Secretary of the Navy,Civilian leader of Navy and Marine Corps,navy,organization
SES,Senior Executive Service,Federal civilian senior leadership tier,general,admin
SF,security forces,security forces,usaf,security
SFA,Security Force Assistance,Partner nation security capacity building,general,intelligence
SFC,sergeant first class,sergeant first class,army,rank
SFS,security forces squadron,security forces squadron,usaf,security
SGLI,Servicemembers Group Life Insurance,Military life insurance,general,admin
SGM,sergeant major,sergeant major,army,rank
SGT,sergeant,sergeant,army,rank
SHARP,sexual harassment/assault prevention,sexual harassment/assault prevention,general,acronym
SIGACT,Significant Activity,noteworthy event or incident,general,operations
SIGINT,Signals Intelligence,Communications intelligence analysis,general,operations
SIPR,Secret Internet Protocol Router,classified network,general,cyber
SITREP,Situation Report,Status update/report,general,communication
SJA,staff judge advocate,staff judge advocate,general,acronym
SK,storekeeper,storekeeper,navy,rating
SKED,Scheduling,Maintenance scheduling system,navy,technical
SL,squad leader,squad leader,army,acronym
SLC,Senior Leader Course,Senior supervisor course,army,training
SLD,Space Launch Delta,Space Launch Delta,ussf,acronym
SMA,Sergeant Major of the Army,Senior enlisted Army advisor,army,organization
SMMC,Sergeant Major of the Marine Corps,Senior enlisted Marine advisor,usmc,organization
SMP,squadron maintenance program,squadron maintenance program,usmc,acronym
SMSGT,senior master sergeant,senior master sergeant,usaf,rank
SNCO,senior non-commissioned officer,senior non-commissioned officer,army,rank
SNCOA,Senior NCO Academy,Senior enlisted professional school,usaf,training
SNCOIC,senior NCO in charge,senior NCO in charge,usmc,acronym
SNEC,Senior NCO Education Course,Senior leadership course,general,training
SOAP,"Subjective, Objective, Assessment, Plan",Standard medical documentation format,general,medical
SOCOM,Special Operations Command,Special Operations Command,general,organization
SOFA,Status of Forces Agreement,Legal framework for troops in foreign countries,general,intelligence
SOI,School of Infantry,School of Infantry,usmc,acronym
Soldier,team member,team member,general,acronym
Soldiers,personnel,personnel,general,acronym
SOP,standard operating procedure,standard operating procedure,general,acronym
SOPS,Space Operations Squadron,Space Operations Squadron,ussf,acronym
SOQ,Statement of Qualifications,Contractor experience submittal,general,engineering
sortie,mission flight,mission flight,general,acronym
SORTS,Status of Resources and Training System,Readiness reporting system,general,compliance
SORTS,readiness reporting,readiness reporting,navy,acronym
SOS,Squadron Officer School,Squadron Officer School,usaf,acronym
SOUTHCOM,Southern Command,Southern Command,general,organization
SPACECOM,U.S. Space Command,Military space operations command,general,space
SPAWAR,naval systems command,naval systems command,navy,organization
SPC,specialist,specialist,army,rank
SPCM,special court-martial,special court-martial,general,acronym
SPOC,Space Operations Command,Space Operations Command,ussf,organization
SPOD,Seaport of Debarkation,Military sea cargo receiving terminal,general,logistics
SPOE,Seaport of Embarkation,Military sea cargo departure terminal,general,logistics
spot checks,quality inspections,quality inspections,general,acronym
SPOTREP,incident report,incident report,general,acronym
SQ,squadron,squadron,usaf,acronym
SQD,squad,squad,army,acronym
SRA,senior airman,senior airman,usaf,rank
SRB,selective reenlistment bonus,selective reenlistment bonus,general,acronym
SRB,Service Record Book,Personnel file,navy,admin
SRO,Senior Reactor Operator,"Oversaw reactor operations and compliance activities to ensure safe, efficient plant performance.",navy,maintenance
SRTS,Sailor Readiness Tracking System,Navy individual readiness database,navy,medical
SSA,Supply Support Activity,Supply distribution point,army,logistics
SSC,Space Systems Command,Space Systems Command,ussf,organization
SSE,Senior Service Education,executive leadership development program,general,training
SSG,staff sergeant,staff sergeant,army,rank
SSGT,staff sergeant,staff sergeant,usaf,rank
SSO,special security officer,special security officer,general,security
STAMIS,Standard Army Management Information System,enterprise management information system,army,logistics
STANFINS,Standard Finance System,Army accounting system,army,financial
STARCOM,Space Training and Readiness Command,Space Training and Readiness Command,ussf,organization
STIG,Security Technical Implementation Guide,Security configuration standard,general,technical
STRATCOM,Strategic Command,Strategic Command,general,organization
STX,situational training exercise,situational training exercise,army,training
SUBLANT,submarine forces Atlantic,submarine forces Atlantic,navy,acronym
SUBPAC,submarine forces Pacific,submarine forces Pacific,navy,acronym
SUPPO,supply officer,supply officer,navy,acronym
SURFLANT,Commander Naval Surface Forces Atlantic,Atlantic surface fleet commander,navy,organization
SURFPAC,surface forces Pacific,surface forces Pacific,navy,acronym
SWPPP,Stormwater Pollution Prevention Plan,Environmental runoff management plan,general,engineering
TACLET,Tactical Law Enforcement Team,Supported specialized maritime security operations in joint/multi-agency environments.,uscg,operations
TACLET,tactical law enforcement team,tactical law enforcement team,uscg,acronym
TACON,Tactical Control,Temporary operational authority,general,operations
TAD,temporary assignment,temporary assignment,general,acronym
TAD,Temporary Additional Duty,Temporary assignment to another location,navy,admin
TADSS,training aids and devices,training aids and devices,army,training
TAI,Target Area of Interest,Specific location for collection focus,general,intelligence
TAP,transition assistance program,transition assistance program,general,acronym
TAPS,transition assistance program,transition assistance program,general,acronym
TAREX,Target Exploitation,Target analysis and development,general,intelligence
TBS,The Basic School,The Basic School,usmc,acronym
TCCC,Tactical Combat Casualty Care,field emergency trauma care,general,medical
TCN,Transportation Control Number,Shipment tracking number,general,logistics
TCP,traffic control point,traffic control point,army,acronym
TDA,organizational structure document,organizational structure document,army,acronym
TDY,temporary duty assignment,temporary duty assignment,general,acronym
TDY,Temporary Duty,Temporary assignment to another location,usaf,admin
TECHEX,Technical Exploitation,Technical equipment forensic analysis,general,intelligence
TECOM,Training and Education Command,Training and Education Command,usmc,organization
TEMADD,Temporary Additional Duty,Short-term training assignment,navy,training
TI,technical inspection,technical inspection,army,acronym
TIC,Troops in Contact,active engagement / critical incident,general,operations
TIG,time in grade,time in grade,usaf,acronym
TIS,time in service,time in service,usaf,acronym
TL,team leader,team leader,army,acronym
TLP,Troop Leading Procedures,team planning and execution steps,army,operations
TM,team,team,army,acronym
TOC,tactical operations center,tactical operations center,general,acronym
TOPMIS,Total Officer Personnel Management Information System,Army officer management system,army,admin
TPFDD,Time-Phased Force and Deployment Data,deployment scheduling and resource plan,general,operations
TPT,Tactical PSYOP Team,Small psychological operations unit,general,intelligence
TQL,total quality leadership,total quality leadership,navy,acronym
TRACEN,training center,training center,uscg,training
TRADOC,Training and Doctrine Command,Training and Doctrine Command,army,organization
TRANSCOM,Transportation Command,Transportation Command,general,organization
TRICARE,military health insurance,military health insurance,general,acronym
TSC,Theater Sustainment Command,Army regional logistics headquarters,army,logistics
TSCM,Technical Surveillance Countermeasures,Electronic bug sweep and detection,general,intelligence
TSGT,technical sergeant,technical sergeant,usaf,rank
TSP,Thrift Savings Plan,Government 401(k) retirement plan,general,admin
TSTA,Tailored Ships Training Availability,Integrated training assessment,navy,compliance
TWMS,Total Workforce Management Services,Navy training tracking system,navy,admin
TYCOM,Type Commander,Fleet type headquarters,navy,organization
UCI,Unit Compliance Inspection,Air Force compliance audit,usaf,compliance
UCMJ,Uniform Code of Military Justice,Military legal code,general,admin
UDM,unit deployment manager,unit deployment manager,usaf,acronym
UFR,Unfunded Requirements,supplemental budget requests,general,financial
UGT,upgrade training,upgrade training,usaf,training
ULLS,Unit Level Logistics System,unit-level inventory tracking system,army,logistics
ULTRA-C,Unit Level Training Readiness Assessment-Command,Command-level readiness assessment,navy,compliance
UMR,unit manning report,unit manning report,army,acronym
underway,at sea operations,at sea operations,general,acronym
UNREP,Underway Replenishment,At-sea supply transfer operation,navy,operations
USACE,Army Corps of Engineers,Army Corps of Engineers,army,acronym
USAF,United States Air Force,United States Air Force,usaf,acronym
USAFE,US Air Forces in Europe,US Air Forces in Europe,usaf,acronym
USAREC,Army Recruiting Command,Army Recruiting Command,army,organization
USCG,United States Coast Guard,United States Coast Guard,uscg,acronym
USMA,United States Military Academy,West Point,army,training
