id,industry,role_type,keywords,weight,created_at
,Technology,Site Reliability Engineer,"[""SRE"",""Reliability"",""Observability"",""Incident Management"",""SLO"",""SLI"",""Error Budget"",""Postmortem""]",critical,
,Education,Corporate Trainer,"[""Facilitation"",""Presentation"",""Adult Learning"",""Needs Assessment"",""Onboarding"",""Compliance Training"",""Role Play"",""Simulation"",""LMS"",""Assessment"",""Feedback"",""Coaching"",""Blended Learning"",""Virtual Training"",""Evaluation""]",critical,
,Telecommunications,VoIP Engineer,"[""VoIP"",""SIP"",""Cisco UC"",""Teams"",""Zoom"",""PBX"",""QoS"",""Network"",""Troubleshooting"",""Configuration"",""SBC"",""Call Routing"",""Collaboration"",""Integration"",""Monitoring""]",critical,
,Telecommunications,NOC Analyst,"[""Root Cause Analysis"",""Performance Reporting"",""SLA Management"",""Change Management""]",medium,
,Nonprofit,Grant Writer,"[""Grant Writing"",""Research"",""Proposal"",""Budget"",""Narrative"",""Logic Model"",""Outcomes"",""Federal Grant"",""Foundation Grant"",""LOI"",""RFP"",""Compliance"",""Reporting"",""Evaluation"",""Grants.gov""]",critical,
,Government/Federal,Contract Specialist,"[""Protest Resolution"",""Claims"",""Termination"",""Closeout"",""Warrant Authority""]",low,
,Finance/Banking,Risk Analyst,"[""Documentation"",""Stakeholder Communication"",""Governance"",""Policy Development""]",low,
,Energy/Utilities,Electrical Engineer,"[""PE License"",""Project Management"",""Specifications"",""Vendor Evaluation""]",low,
,Consulting,Management Consultant,"[""Thought Leadership"",""Business Development"",""Proposal Writing"",""Mentoring""]",low,
,Manufacturing,Supply Chain Manager,"[""Procurement"",""Vendor Management"",""Inventory Control"",""Demand Planning"",""S&OP"",""Logistics"",""Warehousing""]",critical,
,Construction,Heavy Equipment Operator,"[""OSHA"",""Pre-Operation Inspection"",""Safety"",""Maintenance"",""CDL""]",medium,
,Government/Federal,Procurement Specialist,"[""Small Business"",""Set-Aside"",""HUBZone"",""8(a)"",""SDVOSB"",""WOSB""]",medium,
,Education,Teacher,"[""Parent Communication"",""Professional Development"",""Mentoring"",""Extracurricular Activities""]",low,
,Energy/Utilities,Renewable Energy Specialist,"[""Solar"",""Wind"",""Energy Storage"",""Grid Integration"",""Power Purchase Agreements"",""Renewable Portfolio Standards""]",critical,
,Finance/Banking,Treasury,"[""Cash Management"",""Liquidity Management"",""FX Risk"",""Interest Rate Risk"",""Hedging"",""Bank Relationships""]",critical,
,Manufacturing,Welder,"[""MIG"",""TIG"",""Stick"",""Flux Core"",""Blueprint Reading"",""Welding Symbols"",""Material Prep"",""Inspection"",""AWS"",""Safety"",""Fabrication"",""Structural"",""Pipe"",""Sheet Metal"",""Quality""]",critical,
,Finance,Tax Accountant,"[""Tax Preparation"",""Tax Planning"",""Federal Tax"",""State Tax"",""Corporate Tax"",""Partnership"",""S-Corp"",""Tax Research"",""Compliance"",""Extensions"",""Estimated Payments"",""1040"",""1120"",""Tax Software"",""IRS""]",critical,
,Technology,Data Engineer,"[""Data Pipelines"",""ETL"",""Apache Spark"",""Apache Kafka"",""Airflow"",""SQL"",""Python"",""Data Warehousing""]",critical,
,Technology,Full Stack Developer,"[""React"",""Angular"",""Vue"",""Node.js"",""Express"",""MongoDB"",""PostgreSQL"",""REST API"",""GraphQL"",""HTML"",""CSS"",""TypeScript""]",critical,
,Construction,Civil Engineer,"[""Civil Engineering"",""AutoCAD"",""Civil 3D"",""Grading"",""Drainage"",""Stormwater"",""Site Design""]",critical,
,Telecommunications,Telecom Project Manager,"[""Project Management"",""Telecom"",""Network Deployment"",""Site Acquisition"",""Construction Management""]",critical,
,Manufacturing,Maintenance Manager,"[""Preventive Maintenance"",""CMMS"",""Equipment Reliability"",""Predictive Maintenance"",""HVAC"",""Electrical"",""Mechanical"",""PLC"",""Troubleshooting"",""Safety"",""OSHA"",""Work Orders"",""Spare Parts"",""Capital Projects"",""Budget Management""]",critical,
,Government/Federal,Human Resources (Federal),"[""Employee Relations"",""Performance Management"",""Labor Relations"",""EEO"",""Reasonable Accommodation""]",medium,
,Healthcare,Surgical Technologist,"[""Sterile Technique"",""Operating Room"",""Instrumentation"",""Patient Positioning"",""Draping"",""Surgical Counts"",""Specimens"",""Equipment"",""Safety"",""Quality"",""Team Communication"",""Preparation"",""Turnover"",""Documentation"",""Infection Control""]",critical,
,Defense,Proposal Manager,"[""Proposal Management"",""RFP Response"",""Capture"",""Win Strategy"",""Volume Lead"",""Compliance Matrix"",""Red Team"",""Color Team"",""Orals"",""Past Performance"",""Technical Writing"",""Pricing"",""Teaming"",""B&P"",""Section L/M""]",critical,
,Energy/Utilities,Pipeline Operator,"[""Cathodic Protection"",""Corrosion Control"",""Valve Operations"",""Metering"",""Gas Measurement""]",high,
,Telecommunications,Network Engineer,"[""SDN"",""NFV"",""DWDM"",""SONET"",""Fiber Optics"",""Ethernet"",""VLAN""]",high,
,Construction,Site Supervisor,"[""Documentation"",""Progress Photos"",""Client Communication"",""Problem Solving""]",low,
,Government/Federal,Project Manager (Federal),"[""CPIC"",""IT Dashboard"",""TechStat"",""Section 508"",""Authority to Operate""]",medium,
,Consulting,IT Consultant,"[""Requirements Gathering"",""Business Process Mapping"",""Testing"",""Training"",""Change Management""]",medium,
,Logistics,Supply Chain Manager,"[""Supply Chain"",""Procurement"",""Inventory Management"",""Demand Planning"",""S&OP"",""Vendor Management"",""ERP"",""SAP"",""Oracle"",""Lean"",""Six Sigma"",""Logistics"",""Warehouse Management"",""Cost Reduction"",""Continuous Improvement""]",critical,
,Finance,Internal Auditor,"[""Internal Audit"",""SOX"",""Risk Assessment"",""Controls Testing"",""COSO"",""IIA Standards"",""Sampling"",""Data Analytics"",""ACL"",""Report Writing"",""Compliance"",""Fieldwork"",""Governance"",""Enterprise Risk"",""Remediation""]",important,
,Logistics/Supply Chain,Fleet Manager,"[""Fleet Management"",""Vehicle Maintenance"",""DOT Compliance"",""Route Optimization"",""Fuel Management""]",critical,
,Government/Federal,Human Resources (Federal),"[""Title 5"",""Merit Principles"",""Classification"",""Position Description"",""GS Scale"",""Hiring Authority""]",critical,
,Consulting,Strategy Consultant,"[""Thought Leadership"",""Publications"",""Conference Speaking"",""Client Development""]",low,
,Construction,Civil Engineer,"[""PE License"",""Surveying"",""Geotechnical"",""Structural"",""Transportation"",""Hydrology""]",high,
,Finance,Cryptocurrency Analyst,"[""Cryptocurrency"",""Bitcoin"",""Blockchain"",""Trading"",""Technical Analysis"",""DeFi"",""Tokenomics"",""Market Research"",""Risk Assessment"",""Regulatory"",""Compliance"",""Portfolio"",""Valuation"",""Reporting"",""Due Diligence""]",important,
,Technology,Machine Learning Engineer,"[""Python"",""TensorFlow"",""PyTorch"",""Scikit-learn"",""MLOps"",""Feature Engineering"",""Model Deployment"",""NLP"",""Computer Vision"",""Deep Learning"",""A/B Testing"",""Data Pipeline"",""SQL"",""Docker"",""Kubernetes""]",critical,
,Education,Teacher,"[""Google Classroom"",""Canvas"",""Blackboard"",""Educational Technology"",""Remote Learning""]",medium,
,Construction,Civil Engineer,"[""Project Management"",""Client Coordination"",""Field Inspection"",""Construction Administration""]",low,
,Education,Training Manager,"[""Training Program"",""Needs Assessment"",""Curriculum Development"",""Facilitation"",""LMS"",""ROI"",""Performance Improvement"",""Leadership Development"",""Onboarding"",""Compliance Training"",""Evaluation"",""Kirkpatrick"",""Succession Planning"",""Coaching"",""Mentoring""]",critical,
,Government/Federal,Project Manager (Federal),"[""Stakeholder Management"",""Change Management"",""Lessons Learned"",""Knowledge Management""]",low,
,Consulting,IT Consultant,"[""Agile"",""DevOps"",""ERP Implementation"",""CRM"",""Salesforce"",""SAP"",""Workday""]",high,
,Logistics,Import/Export Specialist,"[""International Trade"",""Customs"",""Import"",""Export"",""Tariff"",""HS Code"",""Compliance"",""C-TPAT"",""Incoterms"",""Letters of Credit"",""Freight Forwarding"",""Documentation"",""Duty"",""FTZ"",""Sanctions""]",critical,
,Telecommunications,Telecom Project Manager,"[""5G Deployment"",""Fiber Build"",""Small Cell"",""DAS"",""Macro Sites""]",medium,
,Healthcare,EMT/Paramedic,"[""BLS"",""ACLS"",""PALS"",""ITLS"",""Patient Assessment"",""Airway Management"",""Cardiac Monitoring"",""Trauma Care""]",critical,
,Defense,Test Engineer,"[""Test Planning"",""Test Execution"",""Requirements Verification"",""Defect Tracking"",""Automation"",""Test Procedures"",""Test Reports"",""Configuration Management"",""DT&E"",""OT&E"",""Regression"",""Integration Testing"",""Acceptance Testing"",""Standards"",""Documentation""]",important,
,Retail/Hospitality,Customer Service Manager,"[""Customer Service"",""Call Center"",""Quality Assurance"",""Customer Satisfaction"",""CSAT"",""NPS"",""CRM""]",critical,
,healthcare,medical,"[""Patient Care"",""HIPAA"",""EMR"",""EHR"",""Clinical"",""Triage"",""BLS"",""ACLS"",""CPR"",""Vital Signs"",""Medical Terminology"",""Pharmacology"",""Infection Control""]",critical,
,Non-Profit,Grant Writer,"[""Database Management"",""Calendar Management"",""Team Collaboration"",""Fundraising Strategy""]",low,
,Government/Federal,Security Specialist,"[""Security Education"",""Insider Threat"",""Counterintelligence"",""Classification Management""]",medium,
,Real Estate,Property Manager,"[""Property Management"",""Lease Administration"",""Tenant Relations"",""Maintenance"",""Budget"",""CAM"",""Yardi"",""Building Systems"",""Vendor Management"",""Compliance"",""ADA"",""Fire Safety"",""Capital Improvement"",""Occupancy"",""Rent Collection""]",critical,
,Technology,Network Administrator,"[""Cisco"",""Routing"",""Switching"",""Firewall"",""VPN"",""VLAN"",""DNS"",""DHCP"",""Active Directory"",""Monitoring"",""Troubleshooting"",""Cabling"",""Wireless"",""Security"",""Documentation""]",critical,
,Defense/Aerospace,Intelligence Officer,"[""DCGS"",""Palantir"",""ArcGIS"",""Analyst Notebook"",""Intelligence Databases""]",medium,
,Consulting,IT Consultant,"[""RFP Development"",""Vendor Selection"",""Contract Negotiation"",""Project Management""]",low,
,Energy/Utilities,Environmental Specialist,"[""Sustainability"",""ESG Reporting"",""Stakeholder Engagement"",""Public Comment""]",low,
,Non-Profit,Community Outreach Coordinator,"[""Needs Assessment"",""Resource Mapping"",""Referral Networks"",""Advocacy"",""Volunteer Coordination""]",high,
,Government,IT Specialist,"[""NIST"",""RMF"",""ATO"",""STIG"",""Vulnerability Management"",""System Administration"",""Help Desk"",""Network Security"",""Cloud Computing"",""Active Directory"",""Linux"",""Windows Server"",""Patching"",""Monitoring"",""Documentation""]",critical,
,Technology,Data Scientist,"[""Spark"",""Hadoop"",""Data Visualization"",""Tableau"",""Power BI"",""ETL"",""Data Warehousing""]",medium,
,Manufacturing,Quality Engineer,"[""ISO 9001"",""Six Sigma"",""SPC"",""FMEA"",""Root Cause Analysis"",""CAPA"",""Auditing"",""GMP""]",critical,
,Manufacturing,Lean Manufacturing Specialist,"[""Six Sigma Green Belt"",""Six Sigma Black Belt"",""DMAIC"",""A3 Problem Solving"",""Gemba Walks""]",high,
,Technology,Information Security Manager,"[""Security Operations"",""Incident Response"",""Vulnerability Management"",""Penetration Testing"",""Security Architecture""]",high,
,Non-Profit,Case Manager,"[""Case Management"",""Client Assessment"",""Service Planning"",""Crisis Intervention"",""Resource Coordination"",""Documentation""]",critical,
,Healthcare,Registered Nurse,"[""Patient Education"",""Discharge Planning"",""Interdisciplinary Collaboration"",""Quality Improvement"",""Fall Prevention""]",medium,
,Technology,QA Engineer,"[""TestRail"",""Postman"",""JMeter"",""LoadRunner"",""Test Plans"",""Test Cases"",""Defect Management""]",high,
,Defense/Aerospace,Test Engineer,"[""MIL-STD-810"",""DO-160"",""Qualification Testing"",""Acceptance Testing"",""Regression Testing""]",medium,
,Finance,Financial Analyst,"[""Financial Modeling"",""Excel"",""Forecasting"",""Budgeting"",""Variance Analysis"",""P&L"",""Cash Flow"",""PowerPoint"",""Data Analysis"",""SAP"",""Oracle"",""Business Intelligence"",""Valuation"",""KPIs"",""Reporting""]",critical,
,Healthcare,Healthcare Administrator,"[""Strategic Planning"",""Revenue Cycle"",""Patient Satisfaction"",""Staffing"",""Credentialing"",""Accreditation""]",high,
,Technology,Information Security Manager,"[""GRC"",""SOC 2"",""PCI DSS"",""HIPAA Security"",""Security Awareness Training""]",medium,
,Finance/Banking,Investment Banker,"[""Cross-Border Transactions"",""Regulatory Approval"",""Integration Planning"",""Fairness Opinion""]",low,
,Telecommunications,RF Engineer,"[""RF Design"",""5G"",""LTE"",""4G"",""Antenna Design"",""Propagation"",""Drive Testing"",""Optimization""]",critical,
,Energy/Utilities,Renewable Energy Specialist,"[""Project Development"",""Permitting"",""Environmental Review"",""Community Engagement""]",medium,
,consulting,management_consultant,"[""Management Consulting"",""Strategy"",""Business Analysis"",""Change Management"",""Stakeholder Engagement"",""Process Optimization"",""Data-Driven Decision Making"",""Presentation"",""Client Management""]",critical,
,Law Enforcement,Private Investigator,"[""Investigation"",""Surveillance"",""Background Check"",""Interview"",""Documentation"",""Report Writing"",""Evidence Collection"",""Database Research"",""Skip Tracing"",""Insurance Fraud"",""Workers Comp"",""Litigation Support"",""Photography"",""Testimony"",""Ethics""]",critical,
,Energy/Utilities,Pipeline Operator,"[""Pipeline Operations"",""PHMSA"",""DOT"",""Integrity Management"",""SCADA"",""Leak Detection""]",critical,
,Consulting,HR Consultant,"[""Training Design"",""Facilitation"",""Diversity and Inclusion"",""Culture Assessment""]",low,
,Technology,Data Engineer,"[""AWS"",""GCP"",""Azure"",""Docker"",""CI/CD"",""Data Quality"",""Data Governance""]",medium,
,Government/Federal,Budget Analyst,"[""Congressional Justification"",""Briefings"",""Audit Support"",""Internal Controls""]",low,
,Hospitality,Restaurant Manager,"[""Restaurant Operations"",""P&L"",""Food Cost"",""Labor Cost"",""ServSafe"",""Staff Scheduling"",""Customer Service"",""Inventory"",""Menu Planning"",""Health Department"",""Training"",""Upselling"",""POS"",""Catering"",""Quality""]",critical,
,Logistics/Supply Chain,Transportation Manager,"[""LTL"",""FTL"",""Intermodal"",""Ocean Freight"",""Air Freight"",""Customs"",""Import/Export""]",high,
,Technology,Software Engineer,"[""Python"",""Java"",""JavaScript"",""TypeScript"",""React"",""Node.js"",""AWS"",""Docker"",""Kubernetes"",""CI/CD"",""Git"",""Agile"",""REST API"",""Microservices"",""SQL""]",critical,
,Defense/Aerospace,Test Engineer,"[""Test Planning"",""Test Execution"",""Test Procedures"",""Data Analysis"",""Environmental Testing"",""EMI/EMC""]",critical,
,Marketing/Communications,Brand Manager,"[""Brand Strategy"",""Brand Guidelines"",""Brand Positioning"",""Market Research"",""Consumer Insights"",""Competitive Analysis""]",critical,
,Energy/Utilities,Nuclear Engineer,"[""Nuclear Engineering"",""Reactor Operations"",""NRC"",""Radiation Protection"",""Nuclear Safety"",""Criticality Safety""]",critical,
,Telecommunications,Network Engineer,"[""Network Monitoring"",""Troubleshooting"",""Performance Optimization"",""Capacity Planning"",""SolarWinds""]",medium,
,Government/Federal,Grants Management Specialist,"[""Financial Reporting"",""Monitoring"",""Closeout"",""Cost Principles"",""Allowable Costs""]",high,
,Manufacturing,Supply Chain Manager,"[""SAP"",""Oracle"",""ERP"",""MRP"",""Kanban"",""Just-in-Time"",""Safety Stock""]",high,
,Defense/Aerospace,Mission Planning Specialist,"[""Cross-functional Coordination"",""Time-Critical Planning"",""Contingency Planning""]",low,
,Logistics/Supply Chain,Supply Chain Analyst,"[""Supply Chain Analytics"",""Demand Forecasting"",""Inventory Optimization"",""S&OP"",""Data Analysis"",""Excel""]",critical,
,Healthcare,EMT/Paramedic,"[""ePCR"",""Radio Communication"",""Triage"",""Scene Safety"",""Hazmat Awareness""]",medium,
,Manufacturing,Supply Chain Manager,"[""Risk Mitigation"",""Global Sourcing"",""Sustainability"",""Compliance""]",low,
,Marketing/Communications,Digital Marketing Manager,"[""Google Ads"",""Facebook Ads"",""Programmatic"",""DMP"",""CDP"",""Retargeting""]",high,
,Defense,Logistics Engineer,"[""Sustainment"",""Reliability"",""Maintainability"",""Supportability"",""ILS"",""PBL"",""Supply Chain"",""Depot"",""Spare Parts"",""Life Cycle Cost"",""Obsolescence"",""Technical Manuals"",""Provisioning"",""LORA"",""FMEA""]",critical,
,Technology,DevOps Engineer,"[""Docker"",""Kubernetes"",""Terraform"",""Ansible"",""Jenkins"",""CI/CD"",""AWS"",""Azure"",""GCP"",""Linux"",""Python"",""Bash"",""Monitoring"",""Infrastructure as Code"",""GitOps""]",critical,
,Finance/Banking,Auditor,"[""Management Letter"",""Board Presentation"",""Remediation Tracking"",""Follow-Up""]",low,
,Finance/Banking,Investment Banker,"[""M&A"",""IPO"",""Debt Capital Markets"",""Equity Capital Markets"",""Valuation"",""Financial Modeling"",""Due Diligence""]",critical,
,Government/Federal,Grants Management Specialist,"[""Program Evaluation"",""Risk Assessment"",""Corrective Action"",""Technical Assistance""]",medium,
,Technology,IT Support,"[""Help Desk"",""Active Directory"",""Windows"",""Linux"",""Networking"",""TCP/IP"",""DNS"",""DHCP"",""Troubleshooting"",""ServiceNow"",""ITIL""]",medium,
,defense,project_manager,"[""Project Management"",""PMP"",""Agile"",""Scrum"",""Risk Management"",""Stakeholder Management"",""Budget Management"",""Schedule Management"",""MS Project"",""Earned Value Management"",""EVMS"",""DoD"",""Acquisition"",""ITAR"",""Security Clearance""]",critical,
,Finance/Banking,Financial Analyst,"[""Industry Research"",""Competitive Analysis"",""Strategic Planning"",""M&A Support""]",low,
,Technology,Product Manager,"[""Market Research"",""Competitive Analysis"",""Product-Market Fit"",""Go-to-Market"",""Customer Discovery"",""Personas""]",critical,
,Construction,Safety Manager (Construction),"[""EM 385-1-1"",""OSHA 300 Log"",""Workers Compensation"",""Site Safety Plans"",""Toolbox Talks""]",high,
,Marketing/Communications,Content Creator,"[""SEO Writing"",""WordPress"",""CMS"",""Adobe Creative Suite"",""Canva"",""Photography""]",high,
,Aviation,Drone Pilot,"[""UAS"",""Part 107"",""Flight Planning"",""Aerial Photography"",""Mapping"",""Inspection"",""LiDAR"",""Photogrammetry"",""Safety"",""Airspace"",""Weather"",""Regulations"",""Data Processing"",""Reporting"",""Maintenance""]",critical,
,Environmental,Environmental Specialist,"[""Environmental Compliance"",""EPA"",""NEPA"",""CERCLA"",""RCRA"",""Remediation"",""Monitoring"",""Sampling"",""Reporting"",""Permitting"",""EIS"",""Hazardous Waste"",""Air Quality"",""Water Quality"",""Sustainability""]",critical,
,Technology,Machine Learning Engineer,"[""Kubeflow"",""MLflow"",""SageMaker"",""Docker"",""Kubernetes"",""Python"",""Data Pipelines""]",high,
,Defense,Defense Program Manager,"[""DoD"",""Acquisition"",""ACAT"",""Milestone"",""POM"",""PPBE"",""FAR"",""DFARS"",""Earned Value"",""Risk Management"",""Requirements"",""Systems Engineering"",""Test and Evaluation"",""Logistics"",""Contract Management""]",critical,
,Manufacturing,CNC Machinist,"[""CNC Programming"",""G-Code"",""M-Code"",""Blueprint Reading"",""GD&T"",""Tolerances"",""Lathe"",""Mill"",""Grinding"",""Tooling"",""Setup"",""Inspection"",""Calibration"",""Quality"",""Safety""]",critical,
,Manufacturing,Maintenance Technician,"[""CMMS"",""Work Orders"",""Predictive Maintenance"",""Vibration Analysis"",""Thermography""]",high,
,Healthcare,Dental Hygienist,"[""Patient Communication"",""Charting"",""Treatment Planning"",""Sterilization""]",medium,
,Finance/Banking,Insurance Underwriter,"[""Guidewire"",""Duck Creek"",""Policy Administration"",""Regulatory Compliance"",""State Filing""]",medium,
,technology,it_manager,"[""ITIL"",""IT Service Management"",""Infrastructure"",""Cloud Migration"",""Vendor Management"",""SLA"",""Helpdesk"",""Active Directory"",""Azure"",""AWS"",""VMware"",""Change Management""]",critical,
,Construction,Project Manager (Construction),"[""Client Relations"",""Business Development"",""Proposal Writing"",""Team Leadership""]",low,
,Telecommunications,NOC Analyst,"[""Documentation"",""Runbooks"",""Training"",""Shift Handover""]",low,
,Healthcare,Health IT,"[""SQL"",""Crystal Reports"",""System Configuration"",""Workflow Analysis"",""Interface Management""]",high,
,Defense/Aerospace,Systems Engineer,"[""Technical Reviews"",""CDR"",""PDR"",""SRR"",""Peer Reviews"",""Technical Writing""]",low,
,Logistics/Supply Chain,Warehouse Manager,"[""Layout Optimization"",""Slotting"",""Cross-Docking"",""Returns Processing"",""Quality Control""]",medium,
,technology,software_engineer,"[""Python"",""JavaScript"",""Java"",""React"",""Node.js"",""AWS"",""Docker"",""Kubernetes"",""CI/CD"",""Git"",""Agile"",""REST API"",""SQL"",""Microservices"",""Cloud Computing""]",critical,
,Education,Teacher,"[""Curriculum Design"",""Lesson Planning"",""Assessment"",""Differentiated Instruction"",""Classroom Management"",""Student Engagement""]",critical,
,Consulting,Strategy Consultant,"[""Corporate Strategy"",""Growth Strategy"",""Market Entry"",""Competitive Analysis"",""Due Diligence"",""M&A Advisory""]",critical,
,Cybersecurity,GRC Analyst,"[""Risk Management"",""Compliance"",""NIST"",""ISO 27001"",""SOC 2"",""CMMC"",""Policy Development"",""Audit"",""Controls Assessment"",""Risk Assessment"",""Third-Party Risk"",""Vendor Management"",""Documentation"",""Framework Mapping"",""Gap Analysis""]",critical,
,Finance,Credit Analyst,"[""Credit Analysis"",""Financial Statements"",""Risk Assessment"",""Underwriting"",""Loan Review"",""Cash Flow"",""Ratios"",""Industry Analysis"",""Portfolio Management"",""Covenant Monitoring"",""Report Writing"",""Due Diligence"",""Collateral"",""Default Risk"",""Regulatory""]",critical,
,Energy/Utilities,Grid Operations,"[""SCADA"",""Real-Time Monitoring"",""Load Forecasting"",""Interchange Scheduling"",""Voltage Regulation""]",high,
,Education,Training Specialist,"[""LMS Administration"",""E-Learning Development"",""Articulate"",""Captivate"",""Video Production""]",high,
,Energy/Utilities,Environmental Specialist,"[""Sampling"",""Laboratory Analysis"",""GIS"",""Environmental Monitoring"",""Reporting""]",medium,
,Government/Federal,Human Resources (Federal),"[""Workforce Planning"",""Succession Planning"",""Training and Development"",""Onboarding""]",low,
,Healthcare,Respiratory Therapist,"[""Ventilator Management"",""ABG"",""Bronchoscopy"",""Oxygen Therapy"",""Pulmonary Function Testing"",""CPAP"",""BiPAP"",""Nebulizer"",""Intubation"",""Patient Assessment"",""Critical Care"",""Neonatal"",""Cardiac"",""Asthma"",""COPD""]",critical,
,Technology,Site Reliability Engineer,"[""SRE"",""Incident Management"",""SLO"",""SLA"",""Monitoring"",""Observability"",""Prometheus"",""Grafana"",""PagerDuty"",""Automation"",""Python"",""Go"",""Terraform"",""Capacity Planning"",""Postmortem""]",critical,
,Non-Profit,Program Manager (Non-Profit),"[""Budget Management"",""Reporting"",""Compliance"",""Monitoring and Evaluation"",""Data Collection""]",high,
,Healthcare,Physical Therapist,"[""Patient Assessment"",""Treatment Planning"",""Rehabilitation"",""Manual Therapy"",""Exercise Prescription"",""Documentation"",""Outcome Measures"",""Patient Education"",""Orthopedic"",""Neurological"",""Geriatric"",""Sports Medicine"",""Functional Assessment"",""CPT Coding"",""Evidence-Based Practice""]",critical,
,Non-Profit,Volunteer Coordinator,"[""Volunteer Management Software"",""Background Checks"",""Orientation"",""Performance Tracking""]",high,
,Defense/Aerospace,Flight Test Engineer,"[""MATLAB"",""Python"",""Data Analysis"",""Instrumentation"",""Safety Review"",""Risk Assessment""]",high,
,Healthcare,Physical Therapist,"[""Patient Assessment"",""Treatment Planning"",""Manual Therapy"",""Therapeutic Exercise"",""Gait Training"",""Balance Training"",""Pain Management""]",critical,
,Education,Academic Advisor,"[""Academic Advising"",""Degree Planning"",""Student Support"",""Retention"",""Transfer Articulation""]",critical,
,Non-Profit,Community Outreach Coordinator,"[""Community Engagement"",""Outreach"",""Partnership Development"",""Event Planning"",""Public Speaking"",""Cultural Competency""]",critical,
,Logistics/Supply Chain,Customs Broker,"[""Tariff Engineering"",""Valuation"",""Country of Origin"",""Bonded Warehouse""]",medium,
,Transportation,Fleet Manager,"[""Fleet Management"",""Vehicle Maintenance"",""DOT"",""FMCSA"",""CDL"",""Telematics"",""Fuel Management"",""Route Optimization"",""Driver Safety"",""Compliance"",""Preventive Maintenance"",""Asset Management"",""Cost per Mile"",""Utilization"",""Replacement Planning""]",critical,
,Defense/Aerospace,Satellite Operations,"[""STK"",""MATLAB"",""Link Budget"",""Antenna Systems"",""RF Communications""]",high,
,Healthcare,Physical Therapist,"[""Patient Education"",""Home Exercise Programs"",""Ergonomic Assessment"",""Wellness Programs""]",low,
,Manufacturing,Process Engineer,"[""Process Optimization"",""Lean"",""Six Sigma"",""DOE"",""SPC"",""Value Stream Mapping"",""Cycle Time Reduction""]",critical,
,Finance/Banking,Risk Analyst,"[""SAS"",""Python"",""R"",""MATLAB"",""Monte Carlo Simulation"",""Statistical Modeling"",""Scenario Analysis""]",high,
,Retail/Hospitality,Merchandiser,"[""Trend Analysis"",""Competitive Shopping"",""Photography"",""Reporting""]",medium,
,Marketing/Communications,SEO Specialist,"[""Google Search Console"",""Ahrefs"",""SEMrush"",""Moz"",""Screaming Frog"",""Schema Markup""]",high,
,Finance/Banking,Compliance Officer,"[""Risk Assessment"",""Audit"",""Policy Development"",""Training"",""Monitoring"",""Suspicious Activity Reports""]",high,
,Government/Federal,Security Specialist,"[""Security Clearance Processing"",""DCSA"",""e-QIP"",""SF-86"",""Adjudication"",""NISPOM"",""SAP""]",critical,
,Government,Policy Analyst,"[""Policy Analysis"",""Research"",""Legislative Affairs"",""Briefing"",""Stakeholder Engagement"",""Data Analysis"",""Report Writing"",""Federal Regulations"",""OMB"",""GAO"",""Congressional Relations"",""Public Comment"",""Regulatory Compliance"",""Impact Assessment"",""White Papers""]",critical,
,Education,Instructional Designer,"[""Articulate Storyline"",""Rise"",""Captivate"",""Camtasia"",""HTML5"",""SCORM"",""xAPI""]",high,
,Non-Profit,Community Outreach Coordinator,"[""Social Media"",""Newsletter"",""Flyers"",""Presentations"",""Data Collection""]",medium,
,Retail,District Manager,"[""Multi-Unit Management"",""P&L"",""Sales Growth"",""Territory Management"",""Store Operations"",""Training"",""Succession Planning"",""Labor Planning"",""Inventory Management"",""Customer Experience"",""KPIs"",""Coaching"",""Compliance"",""Visual Standards"",""Market Analysis""]",critical,
,Construction,Site Supervisor,"[""OSHA 30"",""First Aid/CPR"",""Scheduling"",""Material Coordination"",""Subcontractor Oversight""]",high,
,Non-Profit,Case Manager,"[""Motivational Interviewing"",""Trauma-Informed Care"",""Cultural Competency"",""HIPAA"",""Confidentiality""]",high,
,Finance/Banking,Financial Planner,"[""Portfolio Management"",""Asset Allocation"",""Risk Tolerance"",""Insurance Planning"",""Education Planning""]",high,
,Technology,Scrum Master,"[""Scrum"",""Agile"",""Sprint Planning"",""Retrospective"",""Backlog Grooming"",""JIRA"",""Confluence"",""Kanban"",""Velocity"",""Story Points"",""Stand-up"",""Impediment Removal"",""Servant Leadership"",""SAFe"",""Release Planning""]",important,
,Marketing/Communications,Content Creator,"[""Content Strategy"",""Copywriting"",""Blog Writing"",""Social Media Content"",""Video Content"",""Content Calendar""]",critical,
,Marketing/Communications,Marketing Manager,"[""Market Research"",""Competitive Intelligence"",""Customer Segmentation"",""Positioning""]",low,
,federal,general,"[""Federal Government"",""GS"",""USAJOBS"",""OPM"",""Veterans Preference"",""KSA"",""ECQ"",""Specialized Experience"",""Merit Promotion"",""Competitive Service""]",critical,
,Healthcare,EMT/Paramedic,"[""Community Education"",""CPR Instruction"",""Equipment Maintenance"",""Vehicle Check""]",low,
,Environmental,Sustainability Manager,"[""Sustainability"",""ESG"",""Carbon Footprint"",""Energy Efficiency"",""Waste Reduction"",""Recycling"",""GRI Reporting"",""CDP"",""LEED"",""Water Conservation"",""Supply Chain Sustainability"",""Stakeholder Engagement"",""Strategy"",""Metrics"",""Communications""]",critical,
,Telecommunications,Field Technician,"[""Documentation"",""Inventory"",""Fleet Vehicle"",""Time Management""]",low,
